Generator,band,Heat Rate,Load Point,Scenario
1_Covanta_Warren_Energy,1,11407.17381,1.9,focus_PJM
1_Covanta_Warren_Energy,2,11756.29638,1.665229885,focus_PJM
1_Covanta_Warren_Energy,3,11860.39778,1.43045977,focus_PJM
1_Covanta_Warren_Energy,4,11930.27684,1.195689655,focus_PJM
1_Covanta_Warren_Energy,5,12284.44745,0.96091954,focus_PJM
1_Covanta_Hennepin_Energy,1,10496.78676,33.7,focus_MISO
1_Covanta_Hennepin_Energy,2,11043.13454,26.93253783,focus_MISO
1_Covanta_Hennepin_Energy,3,11450.27795,20.16507567,focus_MISO
1_Covanta_Hennepin_Energy,4,12316.34694,13.3976135,focus_MISO
1_Covanta_Hennepin_Energy,5,14898.93892,6.630151339,focus_MISO
A_WestRock_West_Point_Mill,1,14914.89999,37,focus_PJM
A_WestRock_West_Point_Mill,2,15028.12861,35.2287234,focus_PJM
A_WestRock_West_Point_Mill,3,15275.5407,33.45744681,focus_PJM
A_WestRock_West_Point_Mill,4,15855.64358,31.68617021,focus_PJM
A_WestRock_West_Point_Mill,5,15198.05883,29.91489362,focus_PJM
1_Cayuga,1,10389.07685,500,focus_MISO
1_Cayuga,2,10338.0661,433.8099631,focus_MISO
1_Cayuga,3,10233.58772,367.6199262,focus_MISO
1_Cayuga,4,10465.21798,301.4298893,focus_MISO
1_Cayuga,5,10917.76092,235.2398524,focus_MISO
2_Cayuga,1,10500.11695,495,focus_MISO
2_Cayuga,2,10497.78049,440.4963899,focus_MISO
2_Cayuga,3,10515.27951,385.9927798,focus_MISO
2_Cayuga,4,10840.64931,331.4891697,focus_MISO
2_Cayuga,5,10082.68144,276.9855596,focus_MISO
4_Cayuga,1,12515.77563,90,focus_MISO
4_Cayuga,2,13018.9088,78.75,focus_MISO
4_Cayuga,3,13576.03957,67.5,focus_MISO
4_Cayuga,4,14371.06687,56.25,focus_MISO
4_Cayuga,5,15521.8017,45,focus_MISO
1_Connersville,1,11780.93438,43,focus_MISO
1_Connersville,2,11943.28041,39.03947368,focus_MISO
1_Connersville,3,12316.79351,35.07894737,focus_MISO
1_Connersville,4,12639.96473,31.11842105,focus_MISO
1_Connersville,5,13050.60565,27.15789474,focus_MISO
2_Connersville,1,12993.71969,43,focus_MISO
2_Connersville,2,13364.34928,39.54464286,focus_MISO
2_Connersville,3,13556.59243,36.08928571,focus_MISO
2_Connersville,4,13737.48443,32.63392857,focus_MISO
2_Connersville,5,14108.42487,29.17857143,focus_MISO
1_2_NRG_Energy_Center_Dover,1,8321.92814,60,focus_PJM
1_2_NRG_Energy_Center_Dover,2,8326.280289,53.671875,focus_PJM
