Generator,category,region
1_1_AES_Shady_Point_LLC,Boiler (Coal),SPP
1_1_Big_Bend,Boiler (Coal),SE
1_1_Big_Cajun_2,Boiler (Coal),MISO
1_1_Brandon_Shores,Boiler (Coal),PJM
1_1_Bull_Run,Boiler (Coal),SE
1_1_C_D_McIntosh_Jr,Boiler (Coal),SE
1_1_C_P_Crane,Boiler (Coal),PJM
1_1_Colbert,Boiler (Coal),SE
1_1_Coleson_Cove__NBPO_,Boiler (Coal),CAN
1_1_Cooper,Boiler (Coal),PJM
1_1_Cross,Boiler (Coal),SE
1_1_Crystal_River,Boiler (Coal),SE
1_1_Cumberland__TN_,Boiler (Coal),SE
1_1_Dalhousie,Boiler (Coal),CAN
1_1_Deerhaven_Generating_Station,Boiler (Coal),SE
1_1_Dunkirk_Generating_Plant,Boiler (Coal),NE
1_1_E_D_Edwards,Boiler (Coal),MISO
1_1_Gallatin__TN_,Boiler (Coal),SE
1_1_H_L_Spurlock,Boiler (Coal),PJM
1_1_Harrington,Boiler (Coal),SPP
1_1_Independence_Steam_Electric_Station,Boiler (Coal),MISO
1_1_Jeffrey_Energy_Center,Boiler (Coal),SPP
1_1_John_Twitty_Energy_Center,Boiler (Coal),SPP
1_1_Kingston,Boiler (Coal),SE
1_1_Lawrence_Energy_Center,Boiler (Coal),SPP
1_1_McIntosh,Boiler (Coal),SE
1_1_Milton_R_Young,Boiler (Coal),MISO
1_1_Morgantown_Generating_Plant,Boiler (Coal),PJM
1_1_Muskogee,Boiler (Coal),SPP
1_1_Nanticoke__OPG_,Boiler (Coal),CAN
1_1_Nearman_Creek,Boiler (Coal),SPP
1_1_Nelson_Industrial_Steam,Boiler (Coal),MISO
1_1_New_Madrid,Boiler (Coal),SE
1_1_Paulsboro_Refinery,Boiler (Coal),PJM
1_1_Quindaro,Boiler (Coal),SPP
1_1_R_S_Nelson,Boiler (Coal),MISO
1_1_Roxboro,Boiler (Coal),SE
1_1_Seminole__FL_,Boiler (Coal),SE
1_1_Shawnee,Boiler (Coal),SE
1_1_Sooner,Boiler (Coal),SPP
1_1_St_Johns_River_Power_Park,Boiler (Coal),SE
1_1_Stanton_Energy_Center,Boiler (Coal),SE
1_1_TalenEnergy_Montour,Boiler (Coal),PJM
1_1_Thomas_Hill,Boiler (Coal),SE
1_1_Thunder_Bay__OPG_,Boiler (Coal),CAN
1_1_Tolk,Boiler (Coal),SPP
1_1_W_H_Zimmer,Boiler (Coal),PJM
1_1_Welsh,Boiler (Coal),SPP
1_1_White_Bluff,Boiler (Coal),MISO
1_1_Williams,Boiler (Coal),SE
1_1_Winyah,Boiler (Coal),SE
1_2_Cumberland__TN_,Boiler (Coal),SE
1_2_Dunkirk_Generating_Plant,Boiler (Coal),NE
1_2_John_Twitty_Energy_Center,Boiler (Coal),SPP
1_2_Silver_Bay_Power,Boiler (Coal),MISO
1_3_Silver_Bay_Power,Boiler (Coal),MISO
1_A_B_Brown,Boiler (Coal),MISO
1_A_Dan_E_Karn,Boiler (Coal),MISO
1_AES_Petersburg,Boiler (Coal),MISO
1_AES_Warrior_Run_Cogeneration_Facility,Boiler (Coal),PJM
1_AG_Processing_Inc,Boiler (Coal),SPP
1_Allen_S_King,Boiler (Coal),MISO
1_Antelope_Valley,Boiler (Coal),SPP
1_Archer_Daniels_Midland_Columbus,Boiler (Coal),SPP
1_Asbury,Boiler (Coal),SPP
1_Atikokan,Boiler (Coal),CAN
1_B_Dan_E_Karn,Boiler (Coal),MISO
1_Baldwin_Energy_Complex,Boiler (Coal),MISO
1_Belews_Creek,Boiler (Coal),SE
1_Belle_River,Boiler (Coal),MISO
1_Belledune__NBPO_,Boiler (Coal),CAN
1_Big_Stone,Boiler (Coal),MISO
1_Biron_Mill,Boiler (Coal),MISO
1_Boundary_Dam,Boiler (Coal),CAN
1_Bowen,Boiler (Coal),SE
1_Burlington__IA_,Boiler (Coal),MISO
1_Cambria_Cogen,Boiler (Coal),PJM
1_Cardinal,Boiler (Coal),PJM
1_Cayuga,Boiler (Coal),MISO
1_Cayuga_Operating_Company,Boiler (Coal),NE
1_Chambers_Cogeneration_LP,Boiler (Coal),PJM
1_Charles_R_Lowman,Boiler (Coal),SE
1_Chester_Operations,Boiler (Coal),PJM
1_Cheswick_Power_Plant,Boiler (Coal),PJM
1_Clifty_Creek,Boiler (Coal),PJM
1_Clover,Boiler (Coal),PJM
1_Coal_Creek,Boiler (Coal),MISO
1_Coffeen,Boiler (Coal),MISO
1_Columbia__WI_,Boiler (Coal),MISO
1_Colver_Power_Project,Boiler (Coal),PJM
1_Cope,Boiler (Coal),SE
1_Courtenay_Bay,Boiler (Coal),CAN
1_Coyote,Boiler (Coal),MISO
1_D_B_Wilson,Boiler (Coal),MISO
1_Dallman,Boiler (Coal),MISO
1_Dolet_Hills,Boiler (Coal),MISO
1_Duck_Creek,Boiler (Coal),MISO
1_E_W_Brown,Boiler (Coal),SE
1_Elizabethtown_Power_LLC,Boiler (Coal),SE
1_Erickson_Station,Boiler (Coal),MISO
1_FirstEnergy_Bruce_Mansfield,Boiler (Coal),PJM
1_FirstEnergy_Fort_Martin_Power_Station,Boiler (Coal),PJM
1_FirstEnergy_Harrison_Power_Station,Boiler (Coal),PJM
1_FirstEnergy_Pleasants_Power_Station,Boiler (Coal),PJM
1_Flint_Creek,Boiler (Coal),SPP
1_Foster_Wheeler_Penn_Resources,Boiler (Coal),PJM
1_Gerald_Gentleman,Boiler (Coal),SPP
1_Ghent,Boiler (Coal),SE
1_Gibson,Boiler (Coal),MISO
1_Grant_Town_Power_Plant,Boiler (Coal),PJM
1_Greene_County,Boiler (Coal),SE
1_H_Chalk_Point_LLC,Boiler (Coal),PJM
1_H_Conemaugh,Boiler (Coal),PJM
1_H_Dickerson,Boiler (Coal),PJM
1_H_Keystone,Boiler (Coal),PJM
1_H_Sioux,Boiler (Coal),MISO
1_H_South_Oak_Creek,Boiler (Coal),MISO
1_H_Waukegan,Boiler (Coal),PJM
1_Hammond,Boiler (Coal),SE
1_Hibbing,Boiler (Coal),MISO
1_Holcomb,Boiler (Coal),SPP
1_Homer_City_Generating_Station,Boiler (Coal),PJM
1_Homer_City_Modular___Nug,Boiler (Coal),PJM
1_Hugo,Boiler (Coal),SPP
1_Iatan,Boiler (Coal),SPP
1_Indian_River_Generating_Station,Boiler (Coal),PJM
1_J_M_Stuart,Boiler (Coal),PJM
1_James_H_Miller_Jr,Boiler (Coal),SE
1_John_E_Amos,Boiler (Coal),PJM
1_John_W_Turk_Jr_Power_Plant,Boiler (Coal),SPP
1_Joppa_Steam,Boiler (Coal),MISO
1_Kenneth_C_Coleman,Boiler (Coal),MISO
1_Kincaid_Generation_LLC,Boiler (Coal),PJM
1_Kline_Township_Cogen_Facility,Boiler (Coal),PJM
1_Kyger_Creek,Boiler (Coal),PJM
1_L_Belews_Creek,Boiler (Coal),SE
1_L_Chalk_Point_LLC,Boiler (Coal),PJM
1_L_Conemaugh,Boiler (Coal),PJM
1_L_Dickerson,Boiler (Coal),PJM
1_L_G_G_Allen,Boiler (Coal),SE
1_L_Keystone,Boiler (Coal),PJM
1_L_Marshall__NC_,Boiler (Coal),SE
1_L_Sioux,Boiler (Coal),MISO
1_L_South_Oak_Creek,Boiler (Coal),MISO
1_L_Waukegan,Boiler (Coal),PJM
1_La_Cygne,Boiler (Coal),SPP
1_Labadie,Boiler (Coal),MISO
1_Lake_Charles_Plant,Boiler (Coal),MISO
1_Laramie_River_Station,Boiler (Coal),SPP
1_Leland_Olds,Boiler (Coal),SPP
