Generator,Scenario,Category
1_1_AES_Shady_Point_LLC,nonfocus_SPP,Boiler (Coal)
1_1_Big_Bend,nonfocus_FRCC,Boiler (Coal)
1_1_Big_Cajun_2,nonfocus_MISO,Boiler (Coal)
1_1_Brandon_Shores,nonfocus_PJM,Boiler (Coal)
1_1_Bull_Run,nonfocus_TVA,Boiler (Coal)
1_1_C_D_McIntosh_Jr,nonfocus_FRCC,Boiler (Coal)
1_1_C_P_Crane,nonfocus_PJM,Boiler (Coal)
1_1_Colbert,nonfocus_TVA,Boiler (Coal)
1_1_Coleson_Cove__NBPO_,nonfocus_NBSO,Boiler (Coal)
1_1_Cooper,nonfocus_PJM,Boiler (Coal)
1_1_Cross,nonfocus_SERC,Boiler (Coal)
1_1_Crystal_River,nonfocus_FRCC,Boiler (Coal)
1_1_Cumberland__TN_,nonfocus_TVA,Boiler (Coal)
1_1_Dalhousie,nonfocus_NBSO,Boiler (Coal)
1_1_Deerhaven_Generating_Station,nonfocus_FRCC,Boiler (Coal)
1_1_Dunkirk_Generating_Plant,nonfocus_NYISO,Boiler (Coal)
1_1_E_D_Edwards,nonfocus_MISO,Boiler (Coal)
1_1_Gallatin__TN_,nonfocus_TVA,Boiler (Coal)
1_1_H_L_Spurlock,nonfocus_PJM,Boiler (Coal)
1_1_Harrington,nonfocus_SPP,Boiler (Coal)
1_1_Independence_Steam_Electric_Station,nonfocus_MISO,Boiler (Coal)
1_1_Jeffrey_Energy_Center,nonfocus_SPP,Boiler (Coal)
1_1_John_Twitty_Energy_Center,nonfocus_SPP,Boiler (Coal)
1_1_Kingston,nonfocus_TVA,Boiler (Coal)
1_1_Lawrence_Energy_Center,nonfocus_SPP,Boiler (Coal)
1_1_McIntosh,nonfocus_SERC,Boiler (Coal)
1_1_Milton_R_Young,nonfocus_MISO,Boiler (Coal)
1_1_Morgantown_Generating_Plant,nonfocus_PJM,Boiler (Coal)
1_1_Muskogee,nonfocus_SPP,Boiler (Coal)
1_1_Nanticoke__OPG_,nonfocus_IESO,Boiler (Coal)
1_1_Nearman_Creek,nonfocus_SPP,Boiler (Coal)
1_1_Nelson_Industrial_Steam,nonfocus_MISO,Boiler (Coal)
1_1_New_Madrid,nonfocus_TVA,Boiler (Coal)
1_1_Paulsboro_Refinery,nonfocus_PJM,Boiler (Coal)
1_1_Quindaro,nonfocus_SPP,Boiler (Coal)
1_1_R_S_Nelson,nonfocus_MISO,Boiler (Coal)
1_1_Roxboro,nonfocus_SERC,Boiler (Coal)
1_1_Seminole__FL_,nonfocus_FRCC,Boiler (Coal)
1_1_Shawnee,nonfocus_TVA,Boiler (Coal)
1_1_Sooner,nonfocus_SPP,Boiler (Coal)
1_1_St_Johns_River_Power_Park,nonfocus_FRCC,Boiler (Coal)
1_1_Stanton_Energy_Center,nonfocus_FRCC,Boiler (Coal)
1_1_TalenEnergy_Montour,nonfocus_PJM,Boiler (Coal)
1_1_Thomas_Hill,nonfocus_TVA,Boiler (Coal)
1_1_Thunder_Bay__OPG_,nonfocus_IESO,Boiler (Coal)
1_1_Tolk,nonfocus_SPP,Boiler (Coal)
1_1_W_H_Zimmer,nonfocus_PJM,Boiler (Coal)
1_1_Welsh,nonfocus_SPP,Boiler (Coal)
1_1_White_Bluff,nonfocus_MISO,Boiler (Coal)
1_1_Williams,nonfocus_SERC,Boiler (Coal)
1_1_Winyah,nonfocus_SERC,Boiler (Coal)
1_2_Cumberland__TN_,nonfocus_TVA,Boiler (Coal)
1_2_Dunkirk_Generating_Plant,nonfocus_NYISO,Boiler (Coal)
1_2_John_Twitty_Energy_Center,nonfocus_SPP,Boiler (Coal)
1_2_Silver_Bay_Power,nonfocus_MISO,Boiler (Coal)
1_3_Silver_Bay_Power,nonfocus_MISO,Boiler (Coal)
1_A_B_Brown,nonfocus_MISO,Boiler (Coal)
1_A_Dan_E_Karn,nonfocus_MISO,Boiler (Coal)
1_AES_Petersburg,nonfocus_MISO,Boiler (Coal)
1_AES_Warrior_Run_Cogeneration_Facility,nonfocus_PJM,Boiler (Coal)
1_AG_Processing_Inc,nonfocus_SPP,Boiler (Coal)
1_Allen_S_King,nonfocus_MISO,Boiler (Coal)
1_Antelope_Valley,nonfocus_SPP,Boiler (Coal)
1_Archer_Daniels_Midland_Columbus,nonfocus_SPP,Boiler (Coal)
1_Asbury,nonfocus_SPP,Boiler (Coal)
1_Atikokan,nonfocus_IESO,Boiler (Coal)
1_B_Dan_E_Karn,nonfocus_MISO,Boiler (Coal)
1_Baldwin_Energy_Complex,nonfocus_MISO,Boiler (Coal)
1_Belews_Creek,nonfocus_SERC,Boiler (Coal)
1_Belle_River,nonfocus_MISO,Boiler (Coal)
1_Belledune__NBPO_,nonfocus_NBSO,Boiler (Coal)
1_Big_Stone,nonfocus_MISO,Boiler (Coal)
1_Biron_Mill,nonfocus_MISO,Boiler (Coal)
1_Boundary_Dam,nonfocus_MRO,Boiler (Coal)
1_Bowen,nonfocus_SERC,Boiler (Coal)
1_Burlington__IA_,nonfocus_MISO,Boiler (Coal)
1_Cambria_Cogen,nonfocus_PJM,Boiler (Coal)
1_Cardinal,nonfocus_PJM,Boiler (Coal)
1_Cayuga,nonfocus_MISO,Boiler (Coal)
1_Cayuga_Operating_Company,nonfocus_NYISO,Boiler (Coal)
1_Chambers_Cogeneration_LP,nonfocus_PJM,Boiler (Coal)
1_Charles_R_Lowman,nonfocus_SERC,Boiler (Coal)
1_Chester_Operations,nonfocus_PJM,Boiler (Coal)
1_Cheswick_Power_Plant,nonfocus_PJM,Boiler (Coal)
1_Clifty_Creek,nonfocus_PJM,Boiler (Coal)
1_Clover,nonfocus_PJM,Boiler (Coal)
1_Coal_Creek,nonfocus_MISO,Boiler (Coal)
1_Coffeen,nonfocus_MISO,Boiler (Coal)
1_Columbia__WI_,nonfocus_MISO,Boiler (Coal)
1_Colver_Power_Project,nonfocus_PJM,Boiler (Coal)
1_Cope,nonfocus_SERC,Boiler (Coal)
1_Courtenay_Bay,nonfocus_NBSO,Boiler (Coal)
1_Coyote,nonfocus_MISO,Boiler (Coal)
1_D_B_Wilson,nonfocus_MISO,Boiler (Coal)
1_Dallman,nonfocus_MISO,Boiler (Coal)
1_Dolet_Hills,nonfocus_MISO,Boiler (Coal)
1_Duck_Creek,nonfocus_MISO,Boiler (Coal)
1_E_W_Brown,nonfocus_TVA,Boiler (Coal)
1_Elizabethtown_Power_LLC,nonfocus_SERC,Boiler (Coal)
1_Erickson_Station,nonfocus_MISO,Boiler (Coal)
1_FirstEnergy_Bruce_Mansfield,nonfocus_PJM,Boiler (Coal)
1_FirstEnergy_Fort_Martin_Power_Station,nonfocus_PJM,Boiler (Coal)
1_FirstEnergy_Harrison_Power_Station,nonfocus_PJM,Boiler (Coal)
1_FirstEnergy_Pleasants_Power_Station,nonfocus_PJM,Boiler (Coal)
1_Flint_Creek,nonfocus_SPP,Boiler (Coal)
1_Foster_Wheeler_Penn_Resources,nonfocus_PJM,Boiler (Coal)
1_Gerald_Gentleman,nonfocus_SPP,Boiler (Coal)
1_Ghent,nonfocus_TVA,Boiler (Coal)
1_Gibson,nonfocus_MISO,Boiler (Coal)
1_Grant_Town_Power_Plant,nonfocus_PJM,Boiler (Coal)
1_Greene_County,nonfocus_SERC,Boiler (Coal)
1_H_Chalk_Point_LLC,nonfocus_PJM,Boiler (Coal)
1_H_Conemaugh,nonfocus_PJM,Boiler (Coal)
1_H_Dickerson,nonfocus_PJM,Boiler (Coal)
1_H_Keystone,nonfocus_PJM,Boiler (Coal)
1_H_Sioux,nonfocus_MISO,Boiler (Coal)
1_H_South_Oak_Creek,nonfocus_MISO,Boiler (Coal)
1_H_Waukegan,nonfocus_PJM,Boiler (Coal)
1_Hammond,nonfocus_SERC,Boiler (Coal)
1_Hibbing,nonfocus_MISO,Boiler (Coal)
1_Holcomb,nonfocus_SPP,Boiler (Coal)
1_Homer_City_Generating_Station,nonfocus_PJM,Boiler (Coal)
1_Homer_City_Modular___Nug,nonfocus_PJM,Boiler (Coal)
1_Hugo,nonfocus_SPP,Boiler (Coal)
1_Iatan,nonfocus_SPP,Boiler (Coal)
1_Indian_River_Generating_Station,nonfocus_PJM,Boiler (Coal)
1_J_M_Stuart,nonfocus_PJM,Boiler (Coal)
1_James_H_Miller_Jr,nonfocus_SERC,Boiler (Coal)
1_John_E_Amos,nonfocus_PJM,Boiler (Coal)
1_John_W_Turk_Jr_Power_Plant,nonfocus_SPP,Boiler (Coal)
1_Joppa_Steam,nonfocus_MISO,Boiler (Coal)
1_Kenneth_C_Coleman,nonfocus_MISO,Boiler (Coal)
1_Kincaid_Generation_LLC,nonfocus_PJM,Boiler (Coal)
1_Kline_Township_Cogen_Facility,nonfocus_PJM,Boiler (Coal)
1_Kyger_Creek,nonfocus_PJM,Boiler (Coal)
1_L_Belews_Creek,nonfocus_SERC,Boiler (Coal)
1_L_Chalk_Point_LLC,nonfocus_PJM,Boiler (Coal)
1_L_Conemaugh,nonfocus_PJM,Boiler (Coal)
1_L_Dickerson,nonfocus_PJM,Boiler (Coal)
1_L_G_G_Allen,nonfocus_SERC,Boiler (Coal)
1_L_Keystone,nonfocus_PJM,Boiler (Coal)
1_L_Marshall__NC_,nonfocus_SERC,Boiler (Coal)
1_L_Sioux,nonfocus_MISO,Boiler (Coal)
1_L_South_Oak_Creek,nonfocus_MISO,Boiler (Coal)
1_L_Waukegan,nonfocus_PJM,Boiler (Coal)
1_La_Cygne,nonfocus_SPP,Boiler (Coal)
1_Labadie,nonfocus_MISO,Boiler (Coal)
1_Lake_Charles_Plant,nonfocus_MISO,Boiler (Coal)
1_Laramie_River_Station,nonfocus_SPP,Boiler (Coal)
1_Leland_Olds,nonfocus_SPP,Boiler (Coal)
1_Lewis___Clark,nonfocus_MISO,Boiler (Coal)
1_Lingan,nonfocus_NBSO,Boiler (Coal)
1_Logan_Generating_Company_LP,nonfocus_PJM,Boiler (Coal)
1_Longview_Power_Plant,nonfocus_PJM,Boiler (Coal)
1_Louisa,nonfocus_MISO,Boiler (Coal)
1_Lumberton,nonfocus_SERC,Boiler (Coal)
1_Marshall__NC_,nonfocus_SERC,Boiler (Coal)
1_Mayo,nonfocus_SERC,Boiler (Coal)
1_Mecklenburg_Power_Station,nonfocus_PJM,Boiler (Coal)
1_Merom,nonfocus_MISO,Boiler (Coal)
1_Merrimack,nonfocus_ISONE,Boiler (Coal)
1_Mill_Creek__KY_,nonfocus_TVA,Boiler (Coal)
1_MillerCoors_Trenton_Brewery,nonfocus_PJM,Boiler (Coal)
1_Mitchell__WV_,nonfocus_PJM,Boiler (Coal)
1_Monroe__MI_,nonfocus_MISO,Boiler (Coal)
1_Morgantown_Energy_Facility,nonfocus_PJM,Boiler (Coal)
1_Nebraska_City,nonfocus_SPP,Boiler (Coal)
1_Newton,nonfocus_MISO,Boiler (Coal)
1_Northampton_Generating_Company_LP,nonfocus_PJM,Boiler (Coal)
1_Ottumwa,nonfocus_MISO,Boiler (Coal)
1_P_H_Glatfelter,nonfocus_PJM,Boiler (Coal)
1_Panther_Creek_Energy_Facility,nonfocus_PJM,Boiler (Coal)
1_Paradise,nonfocus_TVA,Boiler (Coal)
1_Pirkey,nonfocus_SPP,Boiler (Coal)
1_Platte,nonfocus_SPP,Boiler (Coal)
1_Pleasant_Prairie,nonfocus_MISO,Boiler (Coal)
1_Plum_Point_Energy_Station,nonfocus_MISO,Boiler (Coal)
1_Poplar_River,nonfocus_MRO,Boiler (Coal)
1_Prairie_State_Generating_Station,nonfocus_MISO,Boiler (Coal)
1_Pt__Aconi,nonfocus_NBSO,Boiler (Coal)
1_R_D_Green,nonfocus_MISO,Boiler (Coal)
1_R_D_Morrow,nonfocus_MISO,Boiler (Coal)
1_R_M_Heskett,nonfocus_MISO,Boiler (Coal)
1_Red_Hills_Generating_Facility,nonfocus_TVA,Boiler (Coal)
1_Rush_Island,nonfocus_MISO,Boiler (Coal)
1_Scherer,nonfocus_SERC,Boiler (Coal)
1_Scrubgrass_Generating_Company_LP,nonfocus_PJM,Boiler (Coal)
1_Seward,nonfocus_PJM,Boiler (Coal)
1_Shand,nonfocus_MRO,Boiler (Coal)
1_Sheldon,nonfocus_SPP,Boiler (Coal)
1_Sherburne_County,nonfocus_MISO,Boiler (Coal)
1_Shiras,nonfocus_MISO,Boiler (Coal)
1_Sikeston_Power_Station,nonfocus_SPP,Boiler (Coal)
