Interface,Category,Line,Flow Direction,Max Flow,Min Flow,Node From,Node To,Region From,Region To
0_NPCC,EI_Interface,111378_115728_115kV_Z1,1,6494.1,-6494.1,115728_BELLROCK E_115,111378_BELLROCK_115,NPCC,NPCC
0_NPCC,EI_Interface,118181_118183_69kV_1,1,6494.1,-6494.1,118183_DEXTER W_69,118181_JEPSON E_69,NPCC,NPCC
0_NPCC,EI_Interface,118180_118181_69kV_1,-1,6494.1,-6494.1,118181_JEPSON E_69,118180_DEXTER E_69,NPCC,NPCC
0_NPCC,EI_Interface,182460_183210_69kV_1,-1,6494.1,-6494.1,183210_SCOEUR_69,182460_BASQUE     A_69,NPCC,NPCC
0_NPCC,EI_Interface,189106_189709_735kV_1,-1,6494.1,-6494.1,189709_ARN<D>_735,189106_MIC<A>_735,NPCC,NPCC
0_NPCC,EI_Interface,189305_189809_735kV_1,-1,6494.1,-6494.1,189809_ARN<E>_735,189305_MAN<A>_735,NPCC,NPCC
0_NPCC,EI_Interface,189405_189909_735kV_1,-1,6494.1,-6494.1,189909_ARN<F>_735,189405_MAN<B>_735,NPCC,NPCC
0_SEMASS,EI_Interface,111378_115719_115kV_1,1,281,-281,115719_TIVERTN 14_T_115,111378_BELLROCK_115,SEMASS,NPCC
0_SEMASS,EI_Interface,111378_115727_115kV_Z1,1,281,-281,115727_BELLROCK W_115,111378_BELLROCK_115,SEMASS,NPCC
0_SEMASS,EI_Interface,118179_118181_69kV_1,-1,281,-281,118181_JEPSON E_69,118179_NAVY TAP_69,SEMASS,NPCC
AEC_MISO-MS,EI_Interface,317009_318261_230kV_1,1,460,-460,318261_6SE.GREEN_230,317009_6MC SW230_230,MISO-MS,AEC
AEC_MISO-MS,EI_Interface,317096_318001_230kV_1,1,460,-460,318001_6W WAYNSB_230,317096_6CHATOM_230,MISO-MS,AEC
AEC_SOCO,EI_Interface,317017_384558_230kV_1,1,19973,-19973,384558_6GREENVL6_230,317017_6BELLVIL_230,SOCO,AEC
AEC_SOCO,EI_Interface,317039_385517_115kV_1,1,19973,-19973,385517_3FULL RD3_115,317039_3LEE CNTY SW_115,SOCO,AEC
AEC_SOCO,EI_Interface,317050_381101_115kV_1,1,19973,-19973,381101_3GEORGE DAM_115,317050_3CAPPS SW_115,SOCO,AEC
AEC_SOCO,EI_Interface,317060_381101_115kV_1,1,19973,-19973,381101_3GEORGE DAM_115,317060_3JUDSN TP_115,SOCO,AEC
AEC_SOCO,EI_Interface,317099_384573_115kV_1,1,19973,-19973,384573_3BOISE_115,317099_3LOWMAN3_115,SOCO,AEC
AEC_SOCO,EI_Interface,317099_385121_115kV_1,1,19973,-19973,385121_3BOISE TP_115,317099_3LOWMAN3_115,SOCO,AEC
AEC_SOCO,EI_Interface,317105_384586_230kV_1,1,19973,-19973,384586_6W MCTSH6_230,317105_6LOWMAN_230,SOCO,AEC
AEC_SOCO,EI_Interface,317108_384574_115kV_1,1,19973,-19973,384574_3MCINOLIN_115,317108_3CAES_115,SOCO,AEC
AEC_SOCO,EI_Interface,317108_384585_115kV_1,1,19973,-19973,384585_3W MCTSH3_115,317108_3CAES_115,SOCO,AEC
AEC_SOCO,EI_Interface,317108_384636_115kV_1,1,19973,-19973,384636_3MTVERNTS_115,317108_3CAES_115,SOCO,AEC
AEC_SOCO,EI_Interface,317108_385325_115kV_1,1,19973,-19973,385325_3BAY GAS TAP_115,317108_3CAES_115,SOCO,AEC
AEC_SOCO,EI_Interface,317121_317133_115kV_1,1,19973,-19973,317133_3CARYVIL J_115,317121_3BONIFAY_PS_115,SOCO,AEC
AEC_SOCO,EI_Interface,317121_387570_115kV_1,1,19973,-19973,387570_3BONIFAY_115,317121_3BONIFAY_PS_115,SOCO,AEC
AEC_SOCO,EI_Interface,317132_317133_115kV_1,1,19973,-19973,317133_3CARYVIL J_115,317132_3WESTVIL_115,SOCO,AEC
AEC_SOCO,EI_Interface,317149_384623_230kV_1,1,19973,-19973,384623_6N BREW 6_230,317149_6OPP_230,SOCO,AEC
AEC_SOCO,EI_Interface,317149_385351_230kV_1,1,19973,-19973,385351_6S.ENTER TS6_230,317149_6OPP_230,SOCO,AEC
AEC_SOCO,EI_Interface,317187_384628_115kV_1,1,19973,-19973,384628_3PERDIDO_115,317187_3ATMORE S_115,SOCO,AEC
AEC_SOCO,EI_Interface,317187_385113_115kV_1,1,19973,-19973,385113_3S ATMORE_115,317187_3ATMORE S_115,SOCO,AEC
AEC_SOCO,EI_Interface,317207_387861_115kV_1,1,19973,-19973,387861_3CALLAWAY3_115,317207_3GASKIN 3_115,SOCO,AEC
AEC_SOCO,EI_Interface,317212_387320_115kV_1,1,19973,-19973,387320_3NICEVLE_115,317212_3BLUEWTER_115,SOCO,AEC
AEC_SOCO,EI_Interface,317212_387783_115kV_1,1,19973,-19973,387783_3CRSTLBCH_115,317212_3BLUEWTER_115,SOCO,AEC
AEC_SOCO,EI_Interface,317213_384641_115kV_1,1,19973,-19973,384641_3SILVER 3 B2_115,317213_3SHILLAEC_115,SOCO,AEC
AEC_SOCO,EI_Interface,317216_387889_115kV_1,1,19973,-19973,387889_3G BCH TP_115,317216_3GRAY BCH_115,SOCO,AEC
AEC_SOCO,EI_Interface,317219_387773_115kV_1,1,19973,-19973,387773_3POWEL LK_115,317219_3E LAKE_115,SOCO,AEC
AEC_SOCO,EI_Interface,317220_387775_115kV_1,1,19973,-19973,387775_3SNT ROSA_115,317220_3SROSABCH_115,SOCO,AEC
AEC_SOCO,EI_Interface,317220_387780_115kV_1,1,19973,-19973,387780_3MIRAMAR_115,317220_3SROSABCH_115,SOCO,AEC
AEC_SOCO,EI_Interface,317224_387889_115kV_1,1,19973,-19973,387889_3G BCH TP_115,317224_3PTWASHTP_115,SOCO,AEC
AEC_SOCO,EI_Interface,317231_387775_115kV_Z1,1,19973,-19973,387775_3SNT ROSA_115,317231_3S WALTON_115,SOCO,AEC
