Generator,Band,Heat Rate Base,Heat Rate Incr,Load Point,Scenario
Naughton1_WI,1,685.1295,7849.384,84.864,focus_Northern_Tier
Geothermal_2_4_WI,1,113.025,4110,55,focus_CAISO
Puget_Sound_WI,1,58.31409,9973.579,6,focus_Columbia_Grid
Geothermal_2_3_WI,1,113.025,4110,55,focus_CAISO
KlamathCC-Total_WI,1,2354.92,5699.553,328.24194,focus_Northern_Tier
BurrardThermal2_WI,1,326.779,9126.804,43.8,focus_Columbia_Grid
Pyramid_1_WI,1,225.3352,8978.485,30.1,focus_West_Connect
GeoEnrgyPart_WI,1,16.44,4110,8,focus_West_Connect
Pyramid_2_WI,1,225.3352,8978.485,30.1,focus_West_Connect
JMShaferCC2-Total_WI,1,1067.013,6151.504,147.40625,focus_West_Connect
GeoEastMesa3_2_WI,1,100.695,4110,49,focus_West_Connect
Pyramid_3_WI,1,225.3352,8978.485,30.1,focus_West_Connect
JMShaferCC1-Total_WI,1,786.4722,6151.504,108.65,focus_West_Connect
BurrardThermal3_WI,1,337.5448,9126.804,45.243,focus_Columbia_Grid
GeoEastMesa2-1_WI,1,100.695,4110,49,focus_West_Connect
KlamathCogenCC-Total_WI,1,1782.226,5986.938,351.05,focus_Columbia_Grid
Pyramid_4_WI,1,225.3352,8978.485,30.1,focus_West_Connect
Galena3_2_WI,1,30.825,4110,15,focus_West_Connect
Queenstown_WI,1,424.5778,10538.14,100.18421,focus_Columbia_Grid
IslandCogenCC-Total_WI,1,1218.902,5391.538,192.125,focus_Columbia_Grid
Galena3_1_WI,1,30.825,4110,15,focus_West_Connect
Rainbow1_1_WI,1,139.3569,10411.8,15,focus_Columbia_Grid
InlandEmpireEC2_WI,1,1531.361,4850.252,247.47969,focus_CAISO
BurrardThermal4_WI,1,337.5448,9126.804,45.243,focus_Columbia_Grid
Galena2_1_WI,1,27.7425,4110,13.5,focus_West_Connect
Rainbow2_2_WI,1,185.8092,10411.8,20,focus_Columbia_Grid
InlandEmpireEC1_WI,1,1555.866,4927.866,276.54565,focus_CAISO
