Generator,category,region
150MileHouse_WI,Other_ST_WI,CG
Abel1_WI,CT_WI,West
Abel2_WI,CT_WI,West
Abel3_WI,CT_WI,West
Abel4_WI,CT_WI,West
Abel5_WI,CT_WI,West
Abel6_WI,CT_WI,West
Abel7_WI,CT_WI,West
Abel8_WI,CT_WI,West
Abel9_WI,CT_WI,West
Aberdeen_WI,Biomass_WI,CG
Aberfeldie2-1_WI,Hydro_WI,CG
Aberfeldie2-2_WI,Hydro_WI,CG
Aberfeldie2-3_WI,Hydro_WI,CG
Abiquiu1_WI,Hydro_WI,West
Abiquiu2_WI,Hydro_WI,West
Abiquiu3_WI,Hydro_WI,West
AESO-P+G_WI,CT_WI,CG
AftonCC-Total_WI,CC_WI,West
AguaFria1_WI,NG_ST_WI,West
AguaFria2_WI,NG_ST_WI,West
AguaFria3_WI,NG_ST_WI,West
AguaFria4_WI,CT_WI,West
AguaFria5_WI,CT_WI,West
AguaFria6_WI,CT_WI,West
AGWishon1_WI,Hydro_WI,CAISO
AGWishon2_WI,Hydro_WI,CAISO
AGWishon3_WI,Hydro_WI,CAISO
AGWishon4_WI,Hydro_WI,CAISO
Aidlin_Geo1_WI,Geothermal_WI,CAISO
Aidlin_Geo2_WI,Geothermal_WI,CAISO
AirLiquide_WI,CT_WI,CG
Airport5-1_WI,CT_WI,West
AirportIndustrial1_WI,CT_WI,West
AirportIndustrial2_WI,CT_WI,West
AirportIndustrial3_WI,CT_WI,West
AirportIndustrial4_WI,CT_WI,West
Akolkolex_WI,Hydro_WI,CG
Alamitos1_WI,NG_ST_WI,CAISO
Alamitos2_WI,NG_ST_WI,CAISO
Alamitos3_WI,NG_ST_WI,CAISO
Alamitos4_WI,NG_ST_WI,CAISO
Alamitos5_WI,NG_ST_WI,CAISO
Alamitos6_WI,NG_ST_WI,CAISO
AlamitosCC-Total_WI,CC_WI,CAISO
Alamo_1_WI,Hydro_WI,CAISO
Alamosa1_WI,CT_WI,West
Alamosa2_WI,CT_WI,West
AlbeniFalls1_WI,Hydro_WI,CG
AlbeniFalls2_WI,Hydro_WI,CG
AlbeniFalls3_WI,Hydro_WI,CG
Alcova1_WI,Hydro_WI,West
Alcova2_WI,Hydro_WI,West
AldenBailey_WI,CT_WI,CG
Alder11_WI,Hydro_WI,CG
Alder12_WI,Hydro_WI,CG
Alouette_WI,Hydro_WI,CG
ALPAC1_WI,Biomass_WI,CG
ALPAC2_WI,Biomass_WI,CG
ALPAC3_WI,Biomass_WI,CG
ALPAC4_WI,Biomass_WI,CG
Alta_PH1_WI,Hydro_WI,CAISO
Alta_PH2_WI,Hydro_WI,CAISO
AltaGasHarm_1_WI,CT_WI,CG
AltaGasHarm_2_WI,CT_WI,CG
AltaGasHarm_3_WI,CT_WI,CG
AltaGasPark_1_WI,CT_WI,CG
Altamont_Bio2_WI,Biomass_WI,CAISO
Altamont_Bio3_WI,Biomass_WI,CAISO
Altamont_Bio4_WI,Biomass_WI,CAISO
Altamont1_WI,Biomass_WI,CAISO
AmedeeWineagle1_WI,Geothermal_WI,CAISO
AmedeeWineagle2_WI,Geothermal_WI,CAISO
Ameresco1_WI,Biomass_WI,CAISO
AmericanCanyon1_WI,Biomass_WI,CAISO
AmericanCanyon2_WI,Biomass_WI,CAISO
AmericanFalls1_WI,Hydro_WI,NT
AmericanFalls2_WI,Hydro_WI,NT
AmericanFalls3_WI,Hydro_WI,NT
AmesHydro_WI,Hydro_WI,West
Amp_Chow_Bio_WI,Biomass_WI,CAISO
Anderson_WI,Biomass_WI,CAISO
AndersonRanch1_WI,Hydro_WI,NT
AndersonRanch2_WI,Hydro_WI,NT
Angels_WI,Hydro_WI,CAISO
ApacheCC-Total_WI,CC_WI,West
ApacheGT2_WI,CT_WI,West
ApacheGT3_WI,CT_WI,West
ApacheGT4_WI,CT_WI,West
ApacheST2_WI,Coal_ST_WI,West
ApacheST3_WI,Coal_ST_WI,West
ApexCC-Total_WI,CC_WI,West
ArapahoeCC-Total_WI,CC_WI,West
ArenaDrop_WI,Hydro_WI,NT
Argus_Cogen8_WI,Coal_ST_WI,CAISO
Argus_Cogen9_WI,Coal_ST_WI,CAISO
ArizonaFalls_WI,Hydro_WI,West
ArlngtnVallyCC-Total_WI,CC_WI,West
Armstrong_Cogen_WI,Biomass_WI,CG
Arrow_Lake1_WI,Hydro_WI,CG
Arrow_Lake2_WI,Hydro_WI,CG
Arvada1_WI,CT_WI,West
Arvada2_WI,CT_WI,West
Arvada3_WI,CT_WI,West
Ash_River_1_WI,Hydro_WI,CG
Ashlu_Creek_1_WI,Hydro_WI,CG
Ashlu_Creek_2_WI,Hydro_WI,CG
Ashlu_Creek_3_WI,Hydro_WI,CG
Azusa_WI,Hydro_WI,CAISO
BajaCA2CC-Total_WI,CC_WI,CAISO
BajaCA2TG1-1_WI,CT_WI,CAISO
BajaCA2TG1-2_WI,CT_WI,CAISO
BajaCA2TG1-3_WI,CT_WI,CAISO
BajaCA3CC-Total_WI,CC_WI,CAISO
BajaCA4CC-Total_WI,CC_WI,CAISO
Baker_Station_WI,Hydro_WI,CAISO
Balch1-1_WI,Hydro_WI,CAISO
Balch2-2_WI,Hydro_WI,CAISO
Balch2-3_WI,Hydro_WI,CAISO
BalzacCC-Total_WI,CC_WI,CG
BangorSubmarineBase2_WI,CT_WI,CG
BarberCreek1_WI,CT_WI,West
BarberCreek2_WI,CT_WI,West
BarberCreek3_WI,CT_WI,West
BarberDamGEN1_WI,Hydro_WI,NT
Barr_Creek_1_WI,Hydro_WI,CG
Barr_Creek_2_WI,Hydro_WI,CG
Barrier_WI,Hydro_WI,CG
BasinCreek1_WI,IC_WI,NT
BasinCreek2_WI,IC_WI,NT
BasinCreek3_WI,IC_WI,NT
BasinCreek4_WI,IC_WI,NT
BasinCreek5_WI,IC_WI,NT
BasinCreek6_WI,IC_WI,NT
BasinCreek7_WI,IC_WI,NT
BasinCreek8_WI,IC_WI,NT
BasinCreek9_WI,IC_WI,NT
Battle_River_3_WI,Coal_ST_WI,CG
Battle_River_4_WI,Coal_ST_WI,CG
Battle_River_5_WI,Coal_ST_WI,CG
Bay_Envirnmntal_WI,Biomass_WI,CAISO
Bear_Canyon1_WI,Geothermal_WI,CAISO
Bear_Canyon2_WI,Geothermal_WI,CAISO
Bear_Creek_WI,Hydro_WI,CAISO
BearCreekCC-Total_WI,CC_WI,CG
Beardsley_1_WI,Hydro_WI,CAISO
Bearspaw_1_WI,Hydro_WI,CG
Beaver8_WI,CT_WI,CG
BeaverCC-Total_WI,CC_WI,CG
Belden_1_WI,Hydro_WI,CAISO
Belly_River_WI,Hydro_WI,CG
Bend1_WI,Hydro_WI,NT
Bend2_WI,Hydro_WI,NT
Bend3_WI,Hydro_WI,NT
BenFrenchGT1_WI,CT_WI,West
BenFrenchGT2_WI,CT_WI,West
BenFrenchGT3_WI,CT_WI,West
BenFrenchGT4_WI,CT_WI,West
BenFrenchST1_WI,Coal_ST_WI,West
BennettMountain_WI,CT_WI,NT
BeowawePower1_WI,Geothermal_WI,West
BeowawePower2_WI,Geothermal_WI,West
BerryTanneHills18-2_WI,CT_WI,CAISO
BerryUniversityCogen_WI,CT_WI,CAISO
Betasso_Hydro_WI,Hydro_WI,West
BidwellDitchGEN1_WI,Hydro_WI,CAISO
Big_Cliff_1_WI,Hydro_WI,CG
BigCreek1-1_WI,Hydro_WI,CAISO
BigCreek1-2_WI,Hydro_WI,CAISO
BigCreek1-3_WI,Hydro_WI,CAISO
BigCreek1-4_WI,Hydro_WI,CAISO
BigCreek2-3_WI,Hydro_WI,CAISO
BigCreek2-4_WI,Hydro_WI,CAISO
BigCreek2-5_WI,Hydro_WI,CAISO
BigCreek2-6_WI,Hydro_WI,CAISO
BigCreek2A-1_WI,Hydro_WI,CAISO
BigCreek2A-2_WI,Hydro_WI,CAISO
BigCreek3-1_WI,Hydro_WI,CAISO
BigCreek3-2_WI,Hydro_WI,CAISO
BigCreek3-3_WI,Hydro_WI,CAISO
BigCreek3-4_WI,Hydro_WI,CAISO
BigCreek3-5_WI,Hydro_WI,CAISO
BigCreek4-1_WI,Hydro_WI,CAISO
BigCreek4-2_WI,Hydro_WI,CAISO
BigCreek8-1_WI,Hydro_WI,CAISO
BigCreek8-2_WI,Hydro_WI,CAISO
BigCreekWW_WI,Hydro_WI,CAISO
Bighorn_1_WI,Hydro_WI,CG
Bighorn_2_WI,Hydro_WI,CG
BigPine_WI,Hydro_WI,CAISO
BigSilver1_WI,Hydro_WI,CG
BigSilver2_WI,Hydro_WI,CG
BigSilver3_WI,Hydro_WI,CG
BigSilver4_WI,Hydro_WI,CG
BigSky1_WI,Biomass_WI,NT
BigSky2_WI,Biomass_WI,NT
BigThompson_WI,Hydro_WI,West
BigValley_WI,Biomass_WI,CAISO
BiomassOneBB_WI,Biomass_WI,NT
BiomassOneGE1_WI,Biomass_WI,NT
BiomassOneGE2_WI,Biomass_WI,NT
BirchCreek1_WI,Hydro_WI,NT
BishopCreek2-1_WI,Hydro_WI,CAISO
BishopCreek2-2_WI,Hydro_WI,CAISO
BishopCreek2-3_WI,Hydro_WI,CAISO
BishopCreek3-1_WI,Hydro_WI,CAISO
BishopCreek3-2_WI,Hydro_WI,CAISO
BishopCreek3-3_WI,Hydro_WI,CAISO
BishopCreek4-1_WI,Hydro_WI,CAISO
BishopCreek4-2_WI,Hydro_WI,CAISO
BishopCreek4-3_WI,Hydro_WI,CAISO
BishopCreek4-4_WI,Hydro_WI,CAISO
BishopCreek4-5_WI,Hydro_WI,CAISO
BishopCreek5-1_WI,Hydro_WI,CAISO
BishopCreek5-2_WI,Hydro_WI,CAISO
BishopCreek6-1_WI,Hydro_WI,CAISO
BlackButte_WI,Hydro_WI,CAISO
BlackCanyon1_WI,Hydro_WI,NT
BlackCanyon2_WI,Hydro_WI,NT
BlackCanyon3_WI,Hydro_WI,NT
BlackCanyon3MV_WI,Hydro_WI,NT
BlackCreek_WI,Hydro_WI,CG
BlackEagle1_WI,Hydro_WI,NT
BlackEagle2_WI,Hydro_WI,NT
BlackEagle3_WI,Hydro_WI,NT
BlackMountain1_WI,CT_WI,West
BlackMountain2_WI,CT_WI,West
Blacksand182_WI,Biomass_WI,CAISO
Blacksand189_WI,Biomass_WI,CAISO
Blacksand190_WI,Biomass_WI,CAISO
BlindCanyon_WI,Hydro_WI,NT
Bliss1_WI,Hydro_WI,NT
Bliss2_WI,Hydro_WI,NT
Bliss3_WI,Hydro_WI,NT
BloomingtonPwr1_WI,IC_WI,NT
BloomingtonPwr2_WI,IC_WI,NT
BloomingtonPwr3_WI,IC_WI,NT
BloomingtonPwr4_WI,IC_WI,NT
BloomingtonPwr5_WI,IC_WI,NT
