Generator,Node,Property,value,V1,V2,Band,V3,V4,Timeslice,Action,V5,Scenario,V6,Category
1_1_Degray,337666_1DEGRAY U1_13.2,Generation Participation Factor,1,,-,1,,,,=,,,,EES-ARK
1_1_Hiwassee Dam,364452_1HIWASSEE H1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,TVAZ
1_99 Islands,307749_1NINETY9_2.2,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
1_Abitibi Canyon,152746_CANYON_GS-1_13.8,Generation Participation Factor,0.249095004,,-,1,,,,=,,,,ONTE
1_Abitibi Canyon,152747_CANYON_GS-2_13.8,Generation Participation Factor,0.249095004,,-,1,,,,=,,,,ONTE
1_Abitibi Canyon,152748_CANYON_GS-3_13.8,Generation Participation Factor,0.250904996,,-,1,,,,=,,,,ONTE
1_Abitibi Canyon,152749_CANYON_GS-45_13.8,Generation Participation Factor,0.250904996,,-,1,,,,=,,,,ONTE
1_Aguasabon,151728_AGUASABON_GS_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
1_Alcona,256462_ALCONA     H_4.8,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
1_Alexander,693577_ALEXANDR HY_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
1_Alexander (OPG),151729_ALEXANDER_GS_12,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
1_Alice Falls Hydro Project,131761_ALICE F$_46,Generation Participation Factor,1,,-,1,,,,=,,,,NORTH
1_Allatoona,383506_1ALLA DAM_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
1_Allegan Dam,256463_ALLEGAN    H_4.8,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
1_Allegheny No 6 Hydro Statio,235134_01AL&D6_138,Generation Participation Factor,1,,-,1,,,,=,,,,PJM-E
1_Allens Falls,136751_ALLENS F_115,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
1_Amoskeag,105700_AMOSKEAG N._2.3,Generation Participation Factor,1,,-,1,,,,=,,,,NH
