Generator,Category
1_1_AES_Shady_Point_LLC,Boiler (Coal)
1_1_Big_Bend,Boiler (Coal)
1_1_Big_Cajun_2,Boiler (Coal)
1_1_Brandon_Shores,Boiler (Coal)
1_1_Bull_Run,Boiler (Coal)
1_1_C_D_McIntosh_Jr,Boiler (Coal)
1_1_C_P_Crane,Boiler (Coal)
1_1_Colbert,Boiler (Coal)
1_1_Coleson_Cove__NBPO_,Boiler (Coal)
1_1_Cooper,Boiler (Coal)
1_1_Cross,Boiler (Coal)
1_1_Crystal_River,Boiler (Coal)
1_1_Cumberland__TN_,Boiler (Coal)
1_1_Dalhousie,Boiler (Coal)
1_1_Deerhaven_Generating_Station,Boiler (Coal)
1_1_Dunkirk_Generating_Plant,Boiler (Coal)
1_1_E_D_Edwards,Boiler (Coal)
1_1_Gallatin__TN_,Boiler (Coal)
1_1_H_L_Spurlock,Boiler (Coal)
1_1_Harrington,Boiler (Coal)
1_1_Independence_Steam_Electric_Station,Boiler (Coal)
1_1_Jeffrey_Energy_Center,Boiler (Coal)
1_1_John_Twitty_Energy_Center,Boiler (Coal)
1_1_Kingston,Boiler (Coal)
1_1_Lawrence_Energy_Center,Boiler (Coal)
1_1_McIntosh,Boiler (Coal)
1_1_Milton_R_Young,Boiler (Coal)
1_1_Morgantown_Generating_Plant,Boiler (Coal)
1_1_Muskogee,Boiler (Coal)
1_1_Nanticoke__OPG_,Boiler (Coal)
1_1_Nearman_Creek,Boiler (Coal)
1_1_Nelson_Industrial_Steam,Boiler (Coal)
1_1_New_Madrid,Boiler (Coal)
1_1_Paulsboro_Refinery,Boiler (Coal)
1_1_Quindaro,Boiler (Coal)
1_1_R_S_Nelson,Boiler (Coal)
1_1_Roxboro,Boiler (Coal)
1_1_Seminole__FL_,Boiler (Coal)
1_1_Shawnee,Boiler (Coal)
1_1_Sooner,Boiler (Coal)
1_1_St_Johns_River_Power_Park,Boiler (Coal)
1_1_Stanton_Energy_Center,Boiler (Coal)
1_1_TalenEnergy_Montour,Boiler (Coal)
1_1_Thomas_Hill,Boiler (Coal)
1_1_Thunder_Bay__OPG_,Boiler (Coal)
1_1_Tolk,Boiler (Coal)
1_1_W_H_Zimmer,Boiler (Coal)
1_1_Welsh,Boiler (Coal)
1_1_White_Bluff,Boiler (Coal)
1_1_Williams,Boiler (Coal)
1_1_Winyah,Boiler (Coal)
1_2_Cumberland__TN_,Boiler (Coal)
1_2_Dunkirk_Generating_Plant,Boiler (Coal)
1_2_John_Twitty_Energy_Center,Boiler (Coal)
1_2_Silver_Bay_Power,Boiler (Coal)
1_3_Silver_Bay_Power,Boiler (Coal)
1_A_B_Brown,Boiler (Coal)
1_A_Dan_E_Karn,Boiler (Coal)
1_AES_Petersburg,Boiler (Coal)
1_AES_Warrior_Run_Cogeneration_Facility,Boiler (Coal)
1_AG_Processing_Inc,Boiler (Coal)
1_Allen_S_King,Boiler (Coal)
1_Antelope_Valley,Boiler (Coal)
1_Archer_Daniels_Midland_Columbus,Boiler (Coal)
1_Asbury,Boiler (Coal)
1_Atikokan,Boiler (Coal)
1_B_Dan_E_Karn,Boiler (Coal)
1_Baldwin_Energy_Complex,Boiler (Coal)
1_Belews_Creek,Boiler (Coal)
1_Belle_River,Boiler (Coal)
1_Belledune__NBPO_,Boiler (Coal)
1_Big_Stone,Boiler (Coal)
1_Biron_Mill,Boiler (Coal)
1_Boundary_Dam,Boiler (Coal)
1_Bowen,Boiler (Coal)
1_Burlington__IA_,Boiler (Coal)
1_Cambria_Cogen,Boiler (Coal)
1_Cardinal,Boiler (Coal)
1_Cayuga,Boiler (Coal)
1_Cayuga_Operating_Company,Boiler (Coal)
1_Chambers_Cogeneration_LP,Boiler (Coal)
1_Charles_R_Lowman,Boiler (Coal)
1_Chester_Operations,Boiler (Coal)
1_Cheswick_Power_Plant,Boiler (Coal)
1_Clifty_Creek,Boiler (Coal)
1_Clover,Boiler (Coal)
1_Coal_Creek,Boiler (Coal)
1_Coffeen,Boiler (Coal)
1_Columbia__WI_,Boiler (Coal)
1_Colver_Power_Project,Boiler (Coal)
1_Cope,Boiler (Coal)
1_Courtenay_Bay,Boiler (Coal)
1_Coyote,Boiler (Coal)
1_D_B_Wilson,Boiler (Coal)
1_Dallman,Boiler (Coal)
1_Dolet_Hills,Boiler (Coal)
1_Duck_Creek,Boiler (Coal)
1_E_W_Brown,Boiler (Coal)
1_Elizabethtown_Power_LLC,Boiler (Coal)
1_Erickson_Station,Boiler (Coal)
1_FirstEnergy_Bruce_Mansfield,Boiler (Coal)
1_FirstEnergy_Fort_Martin_Power_Station,Boiler (Coal)
1_FirstEnergy_Harrison_Power_Station,Boiler (Coal)
1_FirstEnergy_Pleasants_Power_Station,Boiler (Coal)
1_Flint_Creek,Boiler (Coal)
1_Foster_Wheeler_Penn_Resources,Boiler (Coal)
1_Gerald_Gentleman,Boiler (Coal)
1_Ghent,Boiler (Coal)
1_Gibson,Boiler (Coal)
1_Grant_Town_Power_Plant,Boiler (Coal)
1_Greene_County,Boiler (Coal)
1_H_Chalk_Point_LLC,Boiler (Coal)
1_H_Conemaugh,Boiler (Coal)
1_H_Dickerson,Boiler (Coal)
1_H_Keystone,Boiler (Coal)
1_H_Sioux,Boiler (Coal)
1_H_South_Oak_Creek,Boiler (Coal)
1_H_Waukegan,Boiler (Coal)
1_Hammond,Boiler (Coal)
1_Hibbing,Boiler (Coal)
1_Holcomb,Boiler (Coal)
1_Homer_City_Generating_Station,Boiler (Coal)
1_Homer_City_Modular___Nug,Boiler (Coal)
1_Hugo,Boiler (Coal)
1_Iatan,Boiler (Coal)
1_Indian_River_Generating_Station,Boiler (Coal)
1_J_M_Stuart,Boiler (Coal)
1_James_H_Miller_Jr,Boiler (Coal)
1_John_E_Amos,Boiler (Coal)
1_John_W_Turk_Jr_Power_Plant,Boiler (Coal)
1_Joppa_Steam,Boiler (Coal)
1_Kenneth_C_Coleman,Boiler (Coal)
1_Kincaid_Generation_LLC,Boiler (Coal)
1_Kline_Township_Cogen_Facility,Boiler (Coal)
1_Kyger_Creek,Boiler (Coal)
1_L_Belews_Creek,Boiler (Coal)
1_L_Chalk_Point_LLC,Boiler (Coal)
1_L_Conemaugh,Boiler (Coal)
1_L_Dickerson,Boiler (Coal)
1_L_G_G_Allen,Boiler (Coal)
1_L_Keystone,Boiler (Coal)
1_L_Marshall__NC_,Boiler (Coal)
1_L_Sioux,Boiler (Coal)
1_L_South_Oak_Creek,Boiler (Coal)
1_L_Waukegan,Boiler (Coal)
1_La_Cygne,Boiler (Coal)
1_Labadie,Boiler (Coal)
1_Lake_Charles_Plant,Boiler (Coal)
1_Laramie_River_Station,Boiler (Coal)
1_Leland_Olds,Boiler (Coal)
1_Lewis___Clark,Boiler (Coal)
1_Lingan,Boiler (Coal)
1_Logan_Generating_Company_LP,Boiler (Coal)
1_Longview_Power_Plant,Boiler (Coal)
1_Louisa,Boiler (Coal)
1_Lumberton,Boiler (Coal)
1_Marshall__NC_,Boiler (Coal)
1_Mayo,Boiler (Coal)
1_Mecklenburg_Power_Station,Boiler (Coal)
1_Merom,Boiler (Coal)
1_Merrimack,Boiler (Coal)
1_Mill_Creek__KY_,Boiler (Coal)
1_MillerCoors_Trenton_Brewery,Boiler (Coal)
1_Mitchell__WV_,Boiler (Coal)
1_Monroe__MI_,Boiler (Coal)
1_Morgantown_Energy_Facility,Boiler (Coal)
1_Nebraska_City,Boiler (Coal)
1_Newton,Boiler (Coal)
1_Northampton_Generating_Company_LP,Boiler (Coal)
1_Ottumwa,Boiler (Coal)
1_P_H_Glatfelter,Boiler (Coal)
1_Panther_Creek_Energy_Facility,Boiler (Coal)
1_Paradise,Boiler (Coal)
1_Pirkey,Boiler (Coal)
1_Platte,Boiler (Coal)
1_Pleasant_Prairie,Boiler (Coal)
1_Plum_Point_Energy_Station,Boiler (Coal)
1_Poplar_River,Boiler (Coal)
1_Prairie_State_Generating_Station,Boiler (Coal)
1_Pt__Aconi,Boiler (Coal)
1_R_D_Green,Boiler (Coal)
1_R_D_Morrow,Boiler (Coal)
1_R_M_Heskett,Boiler (Coal)
1_Red_Hills_Generating_Facility,Boiler (Coal)
1_Rush_Island,Boiler (Coal)
1_Scherer,Boiler (Coal)
1_Scrubgrass_Generating_Company_LP,Boiler (Coal)
1_Seward,Boiler (Coal)
1_Shand,Boiler (Coal)
1_Sheldon,Boiler (Coal)
1_Sherburne_County,Boiler (Coal)
1_Shiras,Boiler (Coal)
1_Sikeston_Power_Station,Boiler (Coal)
1_Somerset_Operating_Co_LLC,Boiler (Coal)
1_Spiritwood_Station,Boiler (Coal)
1_St_Nicholas_Cogen_Project,Boiler (Coal)
1_TES_Filer_City_Station,Boiler (Coal)
1_Trimble_County,Boiler (Coal)
1_Victor_J_Daniel_Jr,Boiler (Coal)
1_Virginia_City_Hybrid_Energy_Center,Boiler (Coal)
1_Wansley,Boiler (Coal)
1_Warrick,Boiler (Coal)
1_Wateree,Boiler (Coal)
1_Westwood_Generation_LLC,Boiler (Coal)
1_Wheelabrator_Frackville_Energy,Boiler (Coal)
1_Whelan_Energy_Center,Boiler (Coal)
10_Gorgas,Boiler (Coal)
11_Greenfield_Activated_Carbon,Boiler (Coal)
12_Greenfield_Activated_Carbon,Boiler (Coal)
12_Michigan_City,Boiler (Coal)
