Collection,Parent Name,Child Name,Parent Category,Child Category
Generator.Fuels,1_1_AES_Shady_Point_LLC,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_Big_Bend,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Big_Cajun_2,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_Brandon_Shores,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Bull_Run,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_1_C_D_McIntosh_Jr,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_C_P_Crane,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Colbert,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_1_Coleson_Cove__NBPO_,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_1_Cooper,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_1_Cross,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Crystal_River,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Cumberland__TN_,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_1_Dalhousie,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_1_Deerhaven_Generating_Station,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Dunkirk_Generating_Plant,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_1_E_D_Edwards,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_1_Gallatin__TN_,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_1_H_L_Spurlock,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_1_Harrington,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_Independence_Steam_Electric_Station,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_Jeffrey_Energy_Center,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_1_John_Twitty_Energy_Center,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_1_Kingston,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_1_Lawrence_Energy_Center,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_1_McIntosh,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_1_Milton_R_Young,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_1_Morgantown_Generating_Plant,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Muskogee,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_Nanticoke__OPG_,Coal_N/A (Canada),Boiler (Coal),-
Generator.Fuels,1_1_Nearman_Creek,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_1_Nelson_Industrial_Steam,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_New_Madrid,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_1_Paulsboro_Refinery,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_1_Quindaro,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_1_R_S_Nelson,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_Roxboro,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Seminole__FL_,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Shawnee,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_1_Sooner,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_St_Johns_River_Power_Park,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Stanton_Energy_Center,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_TalenEnergy_Montour,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_1_Thomas_Hill,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_1_Thunder_Bay__OPG_,Coal_N/A (Canada),Boiler (Coal),-
Generator.Fuels,1_1_Tolk,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_W_H_Zimmer,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_1_Welsh,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_White_Bluff,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_1_Williams,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_1_Winyah,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_2_Cumberland__TN_,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_2_Dunkirk_Generating_Plant,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_2_John_Twitty_Energy_Center,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_2_Silver_Bay_Power,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_3_Silver_Bay_Power,Coal_WNC,Boiler (Coal),-
