Generator,category,Region,notes
13400_ARTESIA_WI,WI_B2B,West,
13402_BLACKWTR_WI,WI_B2B,West,
55473_MCNEILL_WI,WI_B2B,CG,
599950_LAMAR7_345,EI_B2B,MISO,Unspecified
599956_PNM-DC7_345,EI_B2B,MISO,Unspecified
599961_EPTNP 7_345,EI_B2B,MISO,Unspecified
630005_MILCTYDC_WI,WI_B2B,NT,
652402_MI CTYW4_230,EI_B2B,MISO,Unspecified
652584_SIDNEYW4_230,EI_B2B,MISO,Unspecified
659170_STEGALDC_230,EI_B2B,MISO,Unspecified
659303_RCDC WEST  4_230,EI_B2B,MISO,Unspecified
672683_MCNEILL4_230,EI_B2B,CAN,
70560_LAMAR_DC_WI,WI_B2B,West,
73181_SIDNEYDC_WI,WI_B2B,West,
73188_STEGALDC_WI,WI_B2B,West,
76351_RCDC W_WI,WI_B2B,West,
Crescent_Dunes_WI,CSP-TES_WI,West,
GenesisSolarEnergy1_WI,CSP-noTES_WI,CAISO,
GenesisSolarEnergy2_WI,CSP-noTES_WI,CAISO,
Ivanpah1ST1_WI,CSP-noTES_WI,CAISO,
Ivanpah2ST1_WI,CSP-noTES_WI,CAISO,
Ivanpah3ST1_WI,CSP-noTES_WI,CAISO,
MojaveSolarProject1_WI,CSP-noTES_WI,CAISO,
MojaveSolarProject2_WI,CSP-noTES_WI,CAISO,
NevadaSolarOne_WI,CSP-noTES_WI,West,
OSW_2024_110766,Offshore_2024,NE,
OSW_2024_111134,Offshore_2024,NE,
OSW_2024_111193,Offshore_2024,NE,
OSW_2024_114734,Offshore_2024,NE,
OSW_2024_119194,Offshore_2024,NE,
OSW_2024_123654,Offshore_2024,NE,
OSW_2024_123783,Offshore_2024,NE,
OSW_2024_1507,Offshore_2024,NE,
OSW_2024_1590,Offshore_2024,NE,
OSW_2024_1619,Offshore_2024,NE,
OSW_2024_2511,Offshore_2024,NE,
OSW_2024_2516,Offshore_2024,NE,
OSW_2024_2517,Offshore_2024,NE,
Rice_WI,CSP-TES_WI,West,
SEGS_I_GEN1_WI,CSP-noTES_WI,CAISO,
SEGS_II_GEN1_WI,CSP-noTES_WI,CAISO,
SEGS_III_GEN1_WI,CSP-noTES_WI,CAISO,
SEGS_IV_GEN1_WI,CSP-noTES_WI,CAISO,
SEGS_IX_GEN1_WI,CSP-noTES_WI,CAISO,
SEGS_V_GEN1_WI,CSP-noTES_WI,CAISO,
SEGS_VI_GEN1_WI,CSP-noTES_WI,CAISO,
SEGS_VII_GEN1_WI,CSP-noTES_WI,CAISO,
SEGS_VIII_GEN1_WI,CSP-noTES_WI,CAISO,
Solana1_WI,CSP-TES_WI,West,
Solana2_WI,CSP-TES_WI,West,
