Node,Voltage
317001_2NORTH CR_46,46
317003_3GANER_115,115
317005_3COFFEE SP_115,115
317006_3SAMSN JC_115,115
317007_3SAMSON_115,115
317008_3MC SW115_115,115
317009_6MC SW230_230,230
317010_3COFFEE SP J_115,115
317011_3PERD JCT_115,115
317012_3BREWTON_115,115
317013_3PERDIDO_PS_115,115
317014_3EXXON_PS_115,115
317015_3FREEMAN_115,115
317016_3EVERGREN_PS_115,115
317017_6BELLVIL_230,230
317018_3BELLVIL3_115,115
317019_2BELLVILE_46,46
317020_3FRISCO_115,115
317021_3REPTON_115,115
317022_3WINDCREK_115,115
317023_3WNDCKJCT_115,115
317024_2BANKSJCT_46,46
317025_3FCITYJCT_115,115
317026_3VICTORIA_115,115
317027_2BANKS_46,46
317028_2TROY_46,46
317029_2MONTCELO_46,46
317030_2GOSHEN_46,46
317031_2F HLL JC_46,46
317032_2F HILL_46,46
317033_2LUVERNE_46,46
317034_3FULLER_115,115
317035_3LUVERN 3_115,115
317036_2SACO_46,46
317037_3HIGHLAND_115,115
317038_3HILAND J_115,115
317039_3LEE CNTY SW_115,115
317040_3ARITON_115,115
317041_3CLIO_115,115
317043_3BAKER HL_115,115
317044_3BOTTOM M_115,115
317045_3TXSVIL J_115,115
317046_3GERALD_115,115
317048_3CLAYHAT3_115,115
317050_3CAPPS SW_115,115
317051_2CAPPS 46_46,46
317052_2CAPPS DS_46,46
317053_2HALEBURG_46,46
317054_2ECHO_46,46
317055_2CAPPS JC_46,46
317056_3GERALD J_115,115
317057_3HAYES_115,115
317059_3JUDSON_115,115
317060_3JUDSN TP_115,115
317061_6GANTT6_230,230
317062_2RED LVL_46,46
317063_3GANTT_115,115
317064_3WIGINS J_115,115
317065_3MCWILSW3_115,115
317066_2MCWILSW1_46,46
317067_2RV FAL J_46,46
317068_2RV FALLS_46,46
317069_2POINT A_46,46
317071_1POINTA_HYD_4.16,4.16
317072_3WIGGINS_115,115
317073_3BR CK JC_115,115
317074_3BR CRK_115,115
317075_3BRANTLEY_115,115
317077_3PERYSTRJ_115,115
317079_3OPINE RD_115,115
317080_3KINSTON_PS_115,115
317081_2CAROLINA_46,46
317082_3DOZIER_PS_115,115
317083_3BASIN_PS_115,115
