Simulation, Step, Columns, Integers, Rows, Non-Zeros, UC-Time, ST-Time
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,1, 3707744, 6648, 325203, 243776481,  00:14:02.3,  01:53:33.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,2, 3873672, 6648, 491131, 244108340,  00:18:16.4,  02:34:56.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,3, 3873672, 6648, 491131, 244108340,  00:22:44.2,  02:19:32.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,4, 3873672, 6648, 491131, 244108340,  00:22:10.9,  02:31:48.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,5, 3873672, 6648, 491131, 244108340,  00:24:09.7,  02:26:56.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,6, 3873672, 6648, 491131, 244108340,  00:20:44.7,  02:31:24.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,7, 3873672, 6648, 491131, 244108340,  00:24:44.9,  02:35:35.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,8, 3873672, 6648, 491131, 244108340,  00:20:23.5,  02:23:59.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,9, 3873672, 6648, 491131, 244108340, ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,10, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,11, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,12, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,13, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_CAN_27 ) Log.txt,14, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,1, 1100474, 14760, 334751, 32826318,  00:02:08.5,  00:07:14.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,2, 1125870, 14760, 360147, 32877214,  00:03:28.0,  00:12:26.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,3, 1125870, 14760, 360147, 32877214,  00:03:54.5,  00:13:05.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,4, 1125870, 14760, 360147, 32877214,  00:03:18.2,  00:11:46.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,5, 1125870, 14760, 360147, 32877214,  00:03:28.9,  00:11:58.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,6, 1125870, 14760, 360147, 32877214,  00:05:45.1,  00:14:11.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,7, 1125870, 14760, 360147, 32877214,  00:04:22.5,  00:12:51.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,8, 1125870, 14760, 360147, 32877214,  00:04:32.2,  00:12:57.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,9, 1125870, 14760, 360147, 32877214,  00:03:41.2,  00:12:07.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,10, 1125870, 14760, 360147, 32877214,  00:04:04.5,  00:12:27.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,11, 1125870, 14760, 360147, 32877214,  00:05:28.3,  00:13:52.7. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,12, 1125870, 14760, 360147, 32877214,  06:12:27.1,  06:20:41.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,13, 1125870, 14760, 360147, 32877214,  00:02:57.3,  00:11:09.5. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_West_16 ) Log.txt,14, 1125870, 14760, 360147, 32877214,  00:02:59.1,  00:12:37.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,1, 3754184, 24192, 448961, 244127198,  00:19:58.8,  02:08:09.2. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,2, 3920112, 24192, 614889, 244459060,  00:29:48.4,  03:26:52.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,3, 3920112, 24192, 614889, 244459060,  00:57:43.5,  03:54:01.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,4, 3920112, 24192, 614889, 244459060,  00:30:47.6,  03:34:30.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,5, 3920112, 24192, 614889, 244459060,  00:32:02.7,  03:35:27.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,6, 3920112, 24192, 614889, 244459060,  00:29:48.5,  03:23:42.4. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,7, 3920112, 24192, 614889, 244459060,  00:32:58.7,  03:05:42.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,8, 3920112, 24192, 614889, 244459060,  01:02:10.1,  03:35:52.9. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,9, 3920112, 24192, 614889, 244459060,  00:33:18.9,  03:05:16.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,10, 3920112, 24192, 614889, 244459060,  01:11:08.7,  03:34:41.3. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,11, 3920112, 24192, 614889, 244459060,  00:53:26.5,  03:16:25.1. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,12, 3920112, 24192, 614889, 244459060,  00:31:47.7,  03:03:54.6. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,13, 3920112, 24192, 614889, 244459060,  01:01:28.2,  03:30:52.0. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/Model ( b_2024_base_SE_18 ) Log (1).txt,14, 3920112, 24192, 614889, 244459060,  00:34:06.6,  03:01:32.8. 
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,1, 3739512, 18864, 409453, 244009997, ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,2, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,3, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,4, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,5, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,6, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,7, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,8, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,9, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,10, , , , , ,  
/projects/PLEXOSMODEL/seams/PCM_runs/cb_log_files/~Model ( b_2024_base_SE_25 ) Log.txt,11, , , , , ,  
