Simulation, Step, Columns, Integers, Rows, Non-Zeros, UC-Time, ST-Time
log_files/Model ( b_2024_EI_SE_13 ) Log (2).txt,1, 2753948, 23808, 479725, 9991618,  00:00:51.6,  00:31:42.0. 
log_files/Model ( b_2024_EI_SE_13 ) Log (2).txt,2, 2753948, 23808, 479725, 9991624,  00:01:41.8,  00:24:51.2. 
log_files/Model ( b_2024_EI_SE_13 ) Log (2).txt,3, 2753948, 23808, 479725, 9991624,  00:01:41.2,  00:28:01.0. 
log_files/Model ( b_2024_EI_SE_13 ) Log (2).txt,4, 2753948, 23808, 479725, 9991624,  00:01:36.6,  00:32:37.6. 
log_files/Model ( b_2024_EI_SE_13 ) Log (2).txt,5, 2753948, 23808, 479725, 9991624,  00:01:42.3,  00:20:53.5. 
log_files/Model ( b_2024_EI_SE_13 ) Log (2).txt,6, 2753948, 23808, 479725, 9991624,  00:01:54.7,  00:27:03.7. 
log_files/Model ( b_2024_EI_SE_13 ) Log (2).txt,7, 2753948, 23808, 479725, 9991624,  00:01:20.4,  00:36:54.9. 
log_files/Model ( b_2024_EI_NYISO_43 ) Log (3).txt,1, 2575644, 6000, 183623, 737626,  00:00:06.5,  00:27:09.3. 
log_files/Model ( b_2024_EI_NYISO_43 ) Log (3).txt,2, 2575644, 6000, 183623, 737626,  00:00:06.5,  00:18:44.1. 
log_files/Model ( b_2024_EI_NYISO_43 ) Log (3).txt,3, 2575644, 6000, 183623, 737626,  00:00:08.9,  00:21:10.0. 
log_files/Model ( b_2024_EI_NYISO_43 ) Log (3).txt,4, 2575644, 6000, 183623, 737626,  00:00:07.1,  00:19:39.9. 
log_files/Model ( b_2024_EI_NYISO_43 ) Log (3).txt,5, 2575644, 6000, 183623, 737626,  00:00:06.6,  00:21:17.3. 
log_files/Model ( b_2024_EI_NYISO_43 ) Log (3).txt,6, 2575644, 6000, 183623, 737626,  00:00:06.4,  00:22:42.3. 
log_files/Model ( b_2024_EI_NYISO_43 ) Log (3).txt,7, 2575644, 6000, 183623, 737626,  00:00:06.1,  00:23:55.3. 
log_files/Model ( b_2024_EI_PJM_25 ) Log (3).txt,1, 2705788, 21024, 419674, 7298021,  00:00:20.8,  00:27:38.2. 
log_files/Model ( b_2024_EI_PJM_25 ) Log (3).txt,2, 2705788, 21024, 419674, 7298028,  00:00:42.1,  00:21:40.8. 
log_files/Model ( b_2024_EI_PJM_25 ) Log (3).txt,3, 2705788, 21024, 419674, 7298028,  00:00:40.2,  00:24:52.9. 
log_files/Model ( b_2024_EI_PJM_25 ) Log (3).txt,4, 2705788, 21024, 419674, 7298028,  00:00:24.6,  00:26:39.8. 
log_files/Model ( b_2024_EI_PJM_25 ) Log (3).txt,5, 2705788, 21024, 419674, 7298028,  00:00:27.3,  00:31:37.3. 
log_files/Model ( b_2024_EI_PJM_25 ) Log (3).txt,6, 2705788, 21024, 419674, 7298028,  00:00:29.9,  00:34:20.2. 
log_files/Model ( b_2024_EI_PJM_25 ) Log (3).txt,7, 2705788, 21024, 419674, 7298028,  00:00:30.9,  00:35:16.2. 
log_files/Model ( so_2024_EI_43 ) Log (1).txt,1, 3521652, 99624, 1734952, 48663603,  01:23:28.0,  01:56:37.7. 
log_files/Model ( so_2024_EI_43 ) Log (1).txt,2, 3521652, 99624, 1734952, 48663649,  01:40:56.5,  02:17:19.7. 
log_files/Model ( so_2024_EI_43 ) Log (1).txt,3, 3521652, 99624, 1734952, 48663649,  01:33:26.5,  01:59:25.0. 
log_files/Model ( so_2024_EI_43 ) Log (1).txt,4, 3521652, 99624, 1734952, 48663649,  01:51:55.0,  02:25:53.2. 
log_files/Model ( so_2024_EI_43 ) Log (1).txt,5, 3521652, 99624, 1734952, 48663649,  01:43:07.6,  02:44:38.6. 
log_files/Model ( so_2024_EI_43 ) Log (1).txt,6, 3521652, 99624, 1734952, 48663649,  01:34:58.4,  02:34:04.1. 
log_files/Model ( so_2024_EI_43 ) Log (1).txt,7, 3521652, 99624, 1734952, 48663649,  01:23:46.9,  02:20:58.5. 
log_files/Model ( b_2024_EI_SE_01 ) Log (2).txt,1, 2753948, 23808, 479725, 9991618,  00:01:19.0,  00:28:44.5. 
log_files/Model ( b_2024_EI_SE_01 ) Log (2).txt,2, 2753948, 23808, 479725, 9991624,  00:01:33.2,  00:25:40.4. 
log_files/Model ( b_2024_EI_SE_01 ) Log (2).txt,3, 2753948, 23808, 479725, 9991624,  00:02:25.1,  00:32:51.3. 
log_files/Model ( b_2024_EI_SE_01 ) Log (2).txt,4, 2753948, 23808, 479725, 9991624,  00:02:29.6,  00:34:28.1. 
log_files/Model ( b_2024_EI_SE_01 ) Log (2).txt,5, 2753948, 23808, 479725, 9991624,  00:02:01.9,  00:27:53.6. 
log_files/Model ( b_2024_EI_SE_01 ) Log (2).txt,6, 2753948, 23808, 479725, 9991624,  00:01:40.9,  00:32:07.9. 
log_files/Model ( b_2024_EI_SE_01 ) Log (2).txt,7, 2753948, 23808, 479725, 9991624,  00:02:21.3,  00:40:36.3. 
log_files/Model ( b_2024_EI_MISO_31 ) Log (4).txt,1, 2738212, 22320, 456872, 18750130,  00:00:41.2,  00:28:50.7. 
log_files/Model ( b_2024_EI_MISO_31 ) Log (4).txt,2, 2738212, 22320, 456872, 18750141,  00:01:00.3,  00:28:05.5. 
log_files/Model ( b_2024_EI_MISO_31 ) Log (4).txt,3, 2738212, 22320, 456872, 18750141,  00:00:44.0,  00:32:09.3. 
log_files/Model ( b_2024_EI_MISO_31 ) Log (4).txt,4, 2738212, 22320, 456872, 18750141,  00:01:06.6,  00:29:02.2. 
log_files/Model ( b_2024_EI_MISO_31 ) Log (4).txt,5, 2738212, 22320, 456872, 18750141,  00:01:03.4,  00:38:46.0. 
log_files/Model ( b_2024_EI_MISO_31 ) Log (4).txt,6, 2738212, 22320, 456872, 18750141,  00:01:07.7,  00:40:30.4. 
log_files/Model ( b_2024_EI_MISO_31 ) Log (4).txt,7, 2738212, 22320, 456872, 18750141,  00:01:35.2,  00:22:14.4. 
log_files/Model ( b_2024_EI_PJM_43 ) Log (2).txt,1, 2705788, 21024, 419674, 7298021,  00:00:19.8,  00:29:47.3. 
log_files/Model ( b_2024_EI_PJM_43 ) Log (2).txt,2, 2705788, 21024, 419674, 7298028,  00:00:27.5,  00:26:01.9. 
log_files/Model ( b_2024_EI_PJM_43 ) Log (2).txt,3, 2705788, 21024, 419674, 7298028,  00:00:36.5,  00:26:28.4. 
log_files/Model ( b_2024_EI_PJM_43 ) Log (2).txt,4, 2705788, 21024, 419674, 7298028,  00:00:37.4,  00:21:23.6. 
