"Period","Interface","Interchange","Price","pct"
"2016-01-01 05:00:00+00:00","PJM - MISO",584,1.468,0.0736873807850617
"2016-01-01 06:00:00+00:00","PJM - MISO",1312,1.234,0.0644622055059291
"2016-01-01 07:00:00+00:00","PJM - MISO",1565,0.2,0.0114678899082569
"2016-01-01 08:00:00+00:00","PJM - MISO",1915,0.556,0.0326367691946466
"2016-01-01 09:00:00+00:00","PJM - MISO",1957,1.272,0.0741172357534087
"2016-01-01 10:00:00+00:00","PJM - MISO",1852,1.52,0.0821532807264079
"2016-01-01 11:00:00+00:00","PJM - MISO",1677,1.374,0.0690973095297963
"2016-01-01 12:00:00+00:00","PJM - MISO",1074,1.274,0.059747690287483
"2016-01-01 13:00:00+00:00","PJM - MISO",232,1.614,0.0746220352304776
"2016-01-01 14:00:00+00:00","PJM - MISO",376,2.088,0.0936826992103374
"2016-01-01 15:00:00+00:00","PJM - MISO",560,1.588,0.0701413427561837
"2016-01-01 16:00:00+00:00","PJM - MISO",547,0.926,0.0414484579920326
"2016-01-01 17:00:00+00:00","PJM - MISO",390,0.454,0.0207353277003882
"2016-01-01 18:00:00+00:00","PJM - MISO",172,0.606,0.0284280151991368
"2016-01-01 19:00:00+00:00","PJM - MISO",238,0.914,0.0432294376389349
"2016-01-01 20:00:00+00:00","PJM - MISO",-37,1.196,0.0568009118541033
"2016-01-01 21:00:00+00:00","PJM - MISO",-119,2.344,0.104820677935784
"2016-01-01 22:00:00+00:00","PJM - MISO",-232,3.678,0.135885026046477
"2016-01-01 23:00:00+00:00","PJM - MISO",-570,3.092,0.114450695883921
"2016-01-02 00:00:00+00:00","PJM - MISO",-437,2.572,0.0989763718925575
"2016-01-02 01:00:00+00:00","PJM - MISO",-147,2.408,0.0952380952380952
"2016-01-02 02:00:00+00:00","PJM - MISO",-115,2.814,0.117834261546836
"2016-01-02 03:00:00+00:00","PJM - MISO",147,0.964,0.0434116905340899
"2016-01-02 04:00:00+00:00","PJM - MISO",424,0.846,0.04016140517446
"2016-01-02 05:00:00+00:00","PJM - MISO",731,1.248,0.060121398978707
"2016-01-02 06:00:00+00:00","PJM - MISO",1192,0.786,0.0384333284435969
"2016-01-02 07:00:00+00:00","PJM - MISO",1083,1.238,0.0619836779652531
"2016-01-02 08:00:00+00:00","PJM - MISO",1186,1.434,0.0719843381356358
"2016-01-02 09:00:00+00:00","PJM - MISO",1332,1.292,0.0650947198710198
"2016-01-02 10:00:00+00:00","PJM - MISO",795,1.878,0.0918202708649098
"2016-01-02 11:00:00+00:00","PJM - MISO",956,2.858,0.133845361307545
"2016-01-02 12:00:00+00:00","PJM - MISO",195,4.262,0.17994511294068
"2016-01-02 13:00:00+00:00","PJM - MISO",-403,4.154,0.170127370274809
"2016-01-02 14:00:00+00:00","PJM - MISO",-358,3.344,0.135209445253113
"2016-01-02 15:00:00+00:00","PJM - MISO",-684,2.246,0.0891446715618178
"2016-01-02 16:00:00+00:00","PJM - MISO",-687,1.344,0.0556890693627248
"2016-01-02 17:00:00+00:00","PJM - MISO",-525,1.672,0.0740412718094057
"2016-01-02 18:00:00+00:00","PJM - MISO",-538,0.636,0.0293818719393883
"2016-01-02 19:00:00+00:00","PJM - MISO",-360,0.544,0.0257551368241644
"2016-01-02 20:00:00+00:00","PJM - MISO",-119,1.312,0.0629800307219662
"2016-01-02 21:00:00+00:00","PJM - MISO",109,1.602,0.0734626496079241
"2016-01-02 22:00:00+00:00","PJM - MISO",-85,4.824,0.18006718924972
"2016-01-02 23:00:00+00:00","PJM - MISO",-443,3.756,0.137946231820185
"2016-01-03 00:00:00+00:00","PJM - MISO",-598,3.474,0.130990535801817
"2016-01-03 01:00:00+00:00","PJM - MISO",-269,3.152,0.12342391729971
"2016-01-03 02:00:00+00:00","PJM - MISO",134,3.308,0.135329733267878
"2016-01-03 03:00:00+00:00","PJM - MISO",89,1.526,0.0689655172413793
"2016-01-03 04:00:00+00:00","PJM - MISO",531,0.868,0.0412822220108437
"2016-01-03 05:00:00+00:00","PJM - MISO",937,2.126,0.104796174890324
"2016-01-03 06:00:00+00:00","PJM - MISO",1524,1.624,0.0818961169944529
"2016-01-03 07:00:00+00:00","PJM - MISO",1418,1.504,0.0785624738821563
"2016-01-03 08:00:00+00:00","PJM - MISO",1397,1.448,0.0758750785998742
"2016-01-03 09:00:00+00:00","PJM - MISO",1434,1.448,0.075103734439834
"2016-01-03 10:00:00+00:00","PJM - MISO",1321,1.764,0.088974074447695
"2016-01-03 11:00:00+00:00","PJM - MISO",1192,1.726,0.0838637578348963
"2016-01-03 12:00:00+00:00","PJM - MISO",419,4.924,0.214590778349168
"2016-01-03 13:00:00+00:00","PJM - MISO",-227,4.014,0.176695866531672
"2016-01-03 14:00:00+00:00","PJM - MISO",-415,2.214,0.0991891044308051
"2016-01-03 15:00:00+00:00","PJM - MISO",-718,1.152,0.0527762506871908
"2016-01-03 16:00:00+00:00","PJM - MISO",-422,0.258,0.011968270167463
"2016-01-03 17:00:00+00:00","PJM - MISO",-12,0.028,0.0012970168612192
"2016-01-03 18:00:00+00:00","PJM - MISO",852,0.116,0.00544805560774
"2016-01-03 19:00:00+00:00","PJM - MISO",1322,0.41,0.0194064467269371
"2016-01-03 20:00:00+00:00","PJM - MISO",1407,0.78,0.0372172917263098
"2016-01-03 21:00:00+00:00","PJM - MISO",1522,0.916,0.0422431285740638
"2016-01-03 22:00:00+00:00","PJM - MISO",1208,10.02,0.325451474600494
"2016-01-03 23:00:00+00:00","PJM - MISO",534,3.472,0.119083550555632
"2016-01-04 00:00:00+00:00","PJM - MISO",232,3.542,0.127103742778196
"2016-01-04 01:00:00+00:00","PJM - MISO",301,3.598,0.133749674733281
"2016-01-04 02:00:00+00:00","PJM - MISO",406,1.458,0.0593189307945807
"2016-01-04 03:00:00+00:00","PJM - MISO",386,0.596,0.0267624607094746
"2016-01-04 04:00:00+00:00","PJM - MISO",461,0.51,0.0240260046167617
"2016-01-04 05:00:00+00:00","PJM - MISO",1599,0.304,0.0143857656634488
"2016-01-04 06:00:00+00:00","PJM - MISO",1766,0.056,0.00273731547560856
"2016-01-04 07:00:00+00:00","PJM - MISO",1815,0.108,0.00531339171504477
"2016-01-04 08:00:00+00:00","PJM - MISO",1976,0.496,0.0241762526808345
"2016-01-04 09:00:00+00:00","PJM - MISO",2203,0.304,0.014354518840306
"2016-01-04 10:00:00+00:00","PJM - MISO",1948,1.212,0.052572221740262
"2016-01-04 11:00:00+00:00","PJM - MISO",1080,1.724,0.0627730847655112
"2016-01-04 12:00:00+00:00","PJM - MISO",61,-1.872,0.0585512323282873
"2016-01-04 13:00:00+00:00","PJM - MISO",-862,-3.268,0.106699751861042
"2016-01-04 14:00:00+00:00","PJM - MISO",-935,-2.25,0.0772638302256104
"2016-01-04 15:00:00+00:00","PJM - MISO",-480,1.55,0.0536833720084508
"2016-01-04 16:00:00+00:00","PJM - MISO",-23,1.422,0.0515161395500489
"2016-01-04 17:00:00+00:00","PJM - MISO",184,1.046,0.0393336592336329
"2016-01-04 18:00:00+00:00","PJM - MISO",166,1.784,0.0697910961583601
"2016-01-04 19:00:00+00:00","PJM - MISO",54,2.086,0.0838255977496484
"2016-01-04 20:00:00+00:00","PJM - MISO",-129,2.18,0.0877546091296997
"2016-01-04 21:00:00+00:00","PJM - MISO",-48,4.236,0.156912135131131
"2016-01-04 22:00:00+00:00","PJM - MISO",-210,13.338,0.329520468414161
"2016-01-04 23:00:00+00:00","PJM - MISO",-1162,8.446,0.21369835285783
"2016-01-05 00:00:00+00:00","PJM - MISO",-541,6.262,0.171735732112004
"2016-01-05 01:00:00+00:00","PJM - MISO",-453,7.504,0.222459385746472
"2016-01-05 02:00:00+00:00","PJM - MISO",-192,5.078,0.167618418881003
"2016-01-05 03:00:00+00:00","PJM - MISO",172,3.52,0.138495435945861
"2016-01-05 04:00:00+00:00","PJM - MISO",528,3.928,0.170279174614184
"2016-01-05 05:00:00+00:00","PJM - MISO",394,4.322,0.189486606164233
"2016-01-05 06:00:00+00:00","PJM - MISO",470,4.17,0.186368715083799
"2016-01-05 07:00:00+00:00","PJM - MISO",970,4.434,0.201389835127402
"2016-01-05 08:00:00+00:00","PJM - MISO",735,4.99,0.225373741023441
"2016-01-05 09:00:00+00:00","PJM - MISO",456,5.668,0.251531019792314
"2016-01-05 10:00:00+00:00","PJM - MISO",158,7.712,0.287868607689436
"2016-01-05 11:00:00+00:00","PJM - MISO",-1082,9.932,0.305844675740593
"2016-01-05 12:00:00+00:00","PJM - MISO",-2040,11.61,0.271661557900648
"2016-01-05 13:00:00+00:00","PJM - MISO",-2188,11.022,0.30470240234429
"2016-01-05 14:00:00+00:00","PJM - MISO",-1800,7.436,0.232404050506313
"2016-01-05 15:00:00+00:00","PJM - MISO",-1572,5.946,0.194893310170769
"2016-01-05 16:00:00+00:00","PJM - MISO",-1014,6.742,0.232667287848984
"2016-01-05 17:00:00+00:00","PJM - MISO",-507,4.3,0.161205668441179
"2016-01-05 18:00:00+00:00","PJM - MISO",-312,4.692,0.182596513075965
"2016-01-05 19:00:00+00:00","PJM - MISO",-176,4.224,0.168932970724684
"2016-01-05 20:00:00+00:00","PJM - MISO",11,5.028,0.205812525583299
"2016-01-05 21:00:00+00:00","PJM - MISO",-150,6.366,0.251511200663743
"2016-01-05 22:00:00+00:00","PJM - MISO",99,8.09,0.252567824919609
"2016-01-05 23:00:00+00:00","PJM - MISO",-750,10.758,0.313160422670509
"2016-01-06 00:00:00+00:00","PJM - MISO",-853,6.654,0.211526846170964
"2016-01-06 01:00:00+00:00","PJM - MISO",-1218,6.552,0.213796253997259
"2016-01-06 02:00:00+00:00","PJM - MISO",-1269,3.974,0.144283484006826
"2016-01-06 03:00:00+00:00","PJM - MISO",-885,4.972,0.204659586729234
"2016-01-06 04:00:00+00:00","PJM - MISO",126,5.326,0.233442910365987
"2016-01-06 05:00:00+00:00","PJM - MISO",809,-0.006,0.000276027050650964
"2016-01-06 06:00:00+00:00","PJM - MISO",735,-1.35,0.0646335040934553
"2016-01-06 07:00:00+00:00","PJM - MISO",973,-1.658,0.0819372374598468
"2016-01-06 08:00:00+00:00","PJM - MISO",1059,-4.266,0.228018600673473
"2016-01-06 09:00:00+00:00","PJM - MISO",944,-0.69,0.0336831828166951
"2016-01-06 10:00:00+00:00","PJM - MISO",716,0.092,0.00413817920115149
"2016-01-06 11:00:00+00:00","PJM - MISO",450,9.176,0.297844715658271
"2016-01-06 12:00:00+00:00","PJM - MISO",-196,8.654,0.230116733586832
"2016-01-06 13:00:00+00:00","PJM - MISO",-853,9.376,0.303685949342489
"2016-01-06 14:00:00+00:00","PJM - MISO",-756,9.376,0.316073354908306
"2016-01-06 15:00:00+00:00","PJM - MISO",-512,7.344,0.26347133529454
"2016-01-06 16:00:00+00:00","PJM - MISO",-507,4.806,0.186286290166286
"2016-01-06 17:00:00+00:00","PJM - MISO",-246,3.702,0.149593890168505
"2016-01-06 18:00:00+00:00","PJM - MISO",-176,3.674,0.15055525959923
"2016-01-06 19:00:00+00:00","PJM - MISO",-250,3.348,0.141708287479895
"2016-01-06 20:00:00+00:00","PJM - MISO",-291,3.444,0.147608434767701
"2016-01-06 21:00:00+00:00","PJM - MISO",-411,3.616,0.150679223268606
"2016-01-06 22:00:00+00:00","PJM - MISO",-569,7.33,0.242002046947737
"2016-01-06 23:00:00+00:00","PJM - MISO",-932,6.862,0.217076334187466
"2016-01-07 00:00:00+00:00","PJM - MISO",-649,5.006,0.176934224013007
"2016-01-07 01:00:00+00:00","PJM - MISO",-687,3.78,0.13905238375515
"2016-01-07 02:00:00+00:00","PJM - MISO",-260,3.716,0.144310679611651
"2016-01-07 03:00:00+00:00","PJM - MISO",-66,3.144,0.133276812208563
"2016-01-07 04:00:00+00:00","PJM - MISO",361,3.39,0.154547526783679
"2016-01-07 05:00:00+00:00","PJM - MISO",769,-0.112,0.00545489966880966
