"Period","Interface","Interchange","Price","pct"
1,"PJM - MISO",-3849.62436861871,2.79823853935972,0.0952697980466592
1,"PJM - NYISO",4681.24238680384,-57.2050323017759,0.963479741877905
1,"NYISO - ISO-NE",1082.2088414566,22.9953269531532,0.300678131662083
2,"PJM - MISO",-2660.31213913014,10.6254800344987,0.339798957630913
2,"PJM - NYISO",4638.30604706071,-169.327143816034,1.39655613666769
2,"NYISO - ISO-NE",1490.29085034898,142.314388624192,1.05611615506765
3,"PJM - MISO",-1847.67420066547,6.25745022346612,0.218494454598454
3,"PJM - NYISO",4609.72966344267,-59.4578350298436,0.966847743782398
3,"NYISO - ISO-NE",1628.02249548704,33.5134799951032,0.450034062549564
4,"PJM - MISO",-1560.19637081884,6.48716707958894,0.227089249402578
4,"PJM - NYISO",4537.48149732529,-49.4035433254012,0.874214062084056
4,"NYISO - ISO-NE",1621.2169985718,27.3244685990249,0.404498387213967
5,"PJM - MISO",-1613.59290094602,7.2044148787599,0.246682066677344
5,"PJM - NYISO",4430.59654839265,-54.7398850084589,0.909641698285778
5,"NYISO - ISO-NE",1511.9253695459,37.7606473358024,0.549909407949107
6,"PJM - MISO",-2684.82739042146,3.59499396939276,0.121116956155664
6,"PJM - NYISO",3529.81708682728,-22.2183285994601,0.521695819396754
6,"NYISO - ISO-NE",1196.51425288987,-6.85937337738216,0.120071269197879
7,"PJM - MISO",-3801.35878268268,5.0641052228019,0.156837096223474
7,"PJM - NYISO",3348.16602908562,-55.5910109203521,0.88780119278735
7,"NYISO - ISO-NE",1416.25814505883,3.72802171732774,0.0421017028890403
8,"PJM - MISO",-4203.30482884659,3.06277178376643,0.0930893292672161
8,"PJM - NYISO",1095.47989761033,-14.3285288918879,0.344459990052379
8,"NYISO - ISO-NE",501.719796333338,7.0437129136138,0.155698342763242
9,"PJM - MISO",-3739.54892051478,3.84785361037964,0.110951681792832
9,"PJM - NYISO",907.453992576618,-132.595121756035,1.28855813799624
9,"NYISO - ISO-NE",500.48317798906,128.035875310362,1.21728448652017
10,"PJM - MISO",-4111.34101560614,3.79157902197603,0.106471175649289
10,"PJM - NYISO",40.6931837186407,-2.69947985978796,0.0694724341781156
10,"NYISO - ISO-NE",607.735919641573,4.40354055361059,0.11586795440488
11,"PJM - MISO",-4290.74559674639,2.20588764193534,0.0589906252473952
11,"PJM - NYISO",473.185057737976,-11.1460420274139,0.252917729909098
11,"NYISO - ISO-NE",558.425692812237,-3.67268234228842,0.0713430416922828
12,"PJM - MISO",-4001.24345522438,1.88548679318372,0.05000615123049
12,"PJM - NYISO",1159.48385645729,-8.53894172265235,0.198962643064761
12,"NYISO - ISO-NE",572.186546413068,-7.83987596276674,0.153402055841179
13,"PJM - MISO",-3522.89834160325,1.51776423264828,0.040789009283591
13,"PJM - NYISO",807.770374266377,-13.9884205909055,0.311108071090779
13,"NYISO - ISO-NE",466.378885179808,-10.3633384576225,0.181370350162924
14,"PJM - MISO",-3515.36083834512,1.2694240776223,0.0333161804665794
14,"PJM - NYISO",893.873612255323,-127.087095630881,1.24253386433287
14,"NYISO - ISO-NE",467.857468774153,98.8147834004936,0.84880214792862
15,"PJM - MISO",-3571.41949281495,1.72943844202417,0.0453930132789533
15,"PJM - NYISO",1280.29515661525,-9.34383038759458,0.214131940619181
15,"NYISO - ISO-NE",953.412638827672,-10.0105326221601,0.187768943806406
16,"PJM - MISO",-3821.44830702036,1.76839106017737,0.0458516224096258
16,"PJM - NYISO",1363.0458109522,-6.70301444617327,0.156600081275193
16,"NYISO - ISO-NE",713.93531446234,-8.9260532374621,0.176341747248909
17,"PJM - MISO",-4255.50167163678,2.56720543458128,0.061988511391083
17,"PJM - NYISO",1145.5254469987,-129.782157920988,1.20627837952109
17,"NYISO - ISO-NE",980.969251164561,42.6581428405585,0.282222217150329
18,"PJM - MISO",-1325.7228598662,59.6044991570792,1.00117979092753
18,"PJM - NYISO",-1178.02558939983,-207.813572267132,1.0753986069054
18,"NYISO - ISO-NE",1305.88363351591,245.019333274882,1.40299329529767
19,"PJM - MISO",-2752.30124289884,5.62843293717005,0.104129013246953
19,"PJM - NYISO",-1416.97748029219,-125.326533857242,1.04849457723532
19,"NYISO - ISO-NE",1320.71570984161,162.318541809394,1.60657386006337
20,"PJM - MISO",-2752.27157622001,2.21666545078321,0.0393370593036822
20,"PJM - NYISO",-1465.00523255261,-133.246853922497,1.07385847317201
20,"NYISO - ISO-NE",1361.93032545294,167.196805610313,1.5610208828106
21,"PJM - MISO",-1787.49026886781,41.8632213482828,0.378389549015875
21,"PJM - NYISO",46.1365148381957,-267.690067981223,1.00858354896544
21,"NYISO - ISO-NE",1194.39834820755,290.269187543377,1.14224194700734
22,"PJM - MISO",-2491.90892866888,11.3282036796114,0.239805871144456
22,"PJM - NYISO",-1023.50118080747,-196.430932447738,1.29984593131134
22,"NYISO - ISO-NE",403.758097072033,100.673149076721,0.505901529542243
23,"PJM - MISO",-2845.95212628441,7.30171680877832,0.170043084427665
23,"PJM - NYISO",2337.73392087922,-169.98819928398,1.29184744665322
23,"NYISO - ISO-NE",1067.88487396409,161.694148030701,1.19127176904101
24,"PJM - MISO",-3320.31877701922,7.97493667864529,0.214505427608607
24,"PJM - NYISO",906.3004197715,-130.01833805963,1.22456768987878
24,"NYISO - ISO-NE",1121.92945778552,113.863064978658,0.996591233635577
25,"PJM - MISO",-3073.08029095619,2.04255439287308,0.0579341712647956
25,"PJM - NYISO",3151.80249722838,-77.8296670385309,1.03507109225421
25,"NYISO - ISO-NE",636.620119244661,0.27840864920509,0.00244286234300785
26,"PJM - MISO",-2937.70187117384,4.61668552101128,0.133672699614899
26,"PJM - NYISO",419.295214737882,-2.93429913558525,0.0765881025343079
26,"NYISO - ISO-NE",502.320109236081,-1.03980489528571,0.0258017511887315
27,"PJM - MISO",-3079.19605131895,3.98177264903145,0.118570718021909
27,"PJM - NYISO",58.9706983894137,-8.2514671123924,0.207855800827356
27,"NYISO - ISO-NE",516.55025961632,4.95446515979656,0.119827813748209
28,"PJM - MISO",-3404.76851248518,4.25830541194177,0.127606776635861
28,"PJM - NYISO",-223.081223259412,-2.2665847297208,0.0618728044322562
28,"NYISO - ISO-NE",510.12731009554,6.65133732209047,0.193124919353997
29,"PJM - MISO",-3690.65232247998,6.05745085057254,0.175693643000289
29,"PJM - NYISO",-50.9683433194066,-7.21160845834024,0.175414232827239
29,"NYISO - ISO-NE",651.471513977045,14.8056247047034,0.396775466109347
30,"PJM - MISO",-3668.06835819031,10.2690020825178,0.259241342788871
30,"PJM - NYISO",79.6120502317214,-133.644292571548,1.19786876225859
30,"NYISO - ISO-NE",549.758688998488,136.541130941259,1.23993065452493
31,"PJM - MISO",-3150.99285618615,44.3169965268386,0.768087999508786
31,"PJM - NYISO",-375.891847452546,145.433190484755,20.3696089374379
31,"NYISO - ISO-NE",379.054138239377,-162.42399163764,10.3884104315299
32,"PJM - MISO",-3564.24150830355,26.8703276551543,0.265474024528857
32,"PJM - NYISO",-916.973617769329,-58.0395288155005,0.403974304224207
32,"NYISO - ISO-NE",961.755891290154,123.135589225662,1.10809866662276
33,"PJM - MISO",-4072.44939473728,8.6472596055855,0.120924894174225
33,"PJM - NYISO",-61.0829458675881,-91.6069175658406,0.753120731807098
