"Period","Interface","Interchange","Price","pct"
21,"PJM - NYISO",1343.58690263994,-173.55150860539,1.1920641344307
21,"NYISO - ISO-NE",280.368066987288,168.78940525214,1.14069924010163
45,"PJM - MISO",-7109.87766416458,14.6711979838354,0.307234446615435
47,"PJM - MISO",-7321.01832139345,12.4796208357374,0.300789066671341
48,"PJM - MISO",-7011.77601875779,12.25815822219,0.321559198700347
56,"PJM - MISO",-7099.7922069998,36.0757771881852,0.565598105398383
92,"PJM - NYISO",3473.6080769339,-133.826549976319,1.05848903197521
92,"NYISO - ISO-NE",629.226269582847,119.554852932589,0.895089183566696
116,"PJM - NYISO",3043.36800773955,-138.855857152012,1.1519317768374
116,"NYISO - ISO-NE",660.727457880919,129.868437324197,1.03865296321896
153,"PJM - NYISO",273.419180786187,-127.146950307847,1.12721595766794
153,"NYISO - ISO-NE",560.419169824507,120.475930597645,1.03739761117035
154,"PJM - NYISO",602.472415311875,-125.396361689025,1.12452392052634
154,"NYISO - ISO-NE",757.300831547654,114.876163883653,0.983775411511483
155,"PJM - NYISO",945.625532742494,-124.021864701221,1.17334396288355
155,"NYISO - ISO-NE",626.99763440929,107.85977151264,0.947963243169113
163,"PJM - NYISO",1363.27394046488,-127.798926638939,1.17299466593258
163,"NYISO - ISO-NE",454.238412928745,110.600824541106,0.940882932450582
164,"PJM - NYISO",1599.66572922812,-127.973204833731,1.07824323145874
164,"NYISO - ISO-NE",477.474060750502,103.971739581913,0.795575236043378
165,"PJM - NYISO",1332.67362454494,-130.145133257942,1.18816133660197
165,"NYISO - ISO-NE",631.097653091861,118.049087273124,1.02133675249967
166,"PJM - NYISO",1554.76839207295,-126.682094395765,1.18554944322324
166,"NYISO - ISO-NE",320.706503634619,114.350691886782,1.01176609736824
167,"PJM - NYISO",1155.48487461191,-126.888025878697,1.246388081438
167,"NYISO - ISO-NE",300.597685428496,116.340444148277,1.0864979907139
188,"PJM - NYISO",1383.24519756079,-128.015205993243,1.15528742672192
236,"PJM - NYISO",1692.61321531213,-168.925195973434,1.1714447777443
236,"NYISO - ISO-NE",144.470187460793,129.933662249261,0.793739065731839
237,"PJM - NYISO",1469.49242706186,-167.991053072765,1.27527936811672
237,"NYISO - ISO-NE",193.707716274097,149.573052611249,1.06126976248875
238,"PJM - NYISO",1757.54923631907,-129.297170350065,1.17039335772704
238,"NYISO - ISO-NE",123.804956303051,102.192441006601,0.823962312842946
251,"PJM - NYISO",2146.58440437423,-136.858756290132,1.22901107959168
251,"NYISO - ISO-NE",-105.396152406553,119.889950468821,1.00040666399408
286,"PJM - MISO",-403.907093721072,-120.891389491949,1.14454299194925
309,"PJM - NYISO",477.779958643817,-129.985168862188,1.17760061465711
309,"NYISO - ISO-NE",677.078237258929,126.501123334194,1.12823132175937
332,"PJM - NYISO",235.807868139869,-130.499337378881,1.13895584762041
332,"NYISO - ISO-NE",423.502735657594,134.280567713258,1.19161972862239
333,"PJM - NYISO",688.59963902089,-132.357124216071,1.16089800447545
333,"NYISO - ISO-NE",532.769792854357,124.666538958529,1.05776900330751
334,"PJM - NYISO",71.4520588429145,-133.773008163056,1.23093882700897
453,"PJM - NYISO",1188.19386650732,-132.797870338231,1.22259762981163
453,"NYISO - ISO-NE",290.945707324197,116.268828518031,0.99473723556659
454,"PJM - NYISO",579.910390588822,-131.485487261513,1.24111869291022
454,"NYISO - ISO-NE",83.3411484810077,110.210627581366,0.945376664676461
501,"PJM - NYISO",-235.659398853813,-125.454946692586,1.1599730154994
501,"NYISO - ISO-NE",399.464306687173,125.682366387498,1.16329883284581
502,"PJM - NYISO",-117.411076952924,-129.161692635039,1.18032624384721
502,"NYISO - ISO-NE",72.2479394495447,121.829565977041,1.07723335031779
594,"PJM - NYISO",-988.2940109542,-152.92618966201,1.05834891032539
594,"NYISO - ISO-NE",-81.4020500604148,173.77515703633,1.29614686063209
595,"PJM - NYISO",-1223.75140378701,-164.89587447344,1.11975200336981
595,"NYISO - ISO-NE",-916.234876146293,160.92168161715,1.07821549175047
596,"PJM - NYISO",-1112.30652186586,-164.413013487844,1.16340754288679
596,"NYISO - ISO-NE",-390.248995084995,155.192948924648,1.06347342808019
