"Period","Interface","Interchange","Price","pct"
"2016-01-01 05:00:00+00:00","PJM - MISO",584,0.784000000000002,0.0402422749204395
"2016-01-01 06:00:00+00:00","PJM - MISO",1312,2.82,0.16081204379562
"2016-01-01 07:00:00+00:00","PJM - MISO",1565,3.534,0.224737678855326
"2016-01-01 08:00:00+00:00","PJM - MISO",1915,2.516,0.160541092394079
"2016-01-01 09:00:00+00:00","PJM - MISO",1957,1.992,0.123420074349443
"2016-01-01 10:00:00+00:00","PJM - MISO",1852,3.908,0.235194992778045
"2016-01-01 11:00:00+00:00","PJM - MISO",1677,2.152,0.128692740102859
"2016-01-01 12:00:00+00:00","PJM - MISO",1074,10.598,0.926155728392904
"2016-01-01 13:00:00+00:00","PJM - MISO",232,3.518,0.298312558297295
"2016-01-01 14:00:00+00:00","PJM - MISO",376,-0.886000000000003,0.0509752028076637
"2016-01-01 15:00:00+00:00","PJM - MISO",560,-0.59,0.0302921394465267
"2016-01-01 16:00:00+00:00","PJM - MISO",547,-0.372000000000003,0.0191043549712409
"2016-01-01 17:00:00+00:00","PJM - MISO",390,-2.258,0.118151849720056
"2016-01-01 18:00:00+00:00","PJM - MISO",172,-2.186,0.117142704035153
"2016-01-01 19:00:00+00:00","PJM - MISO",238,-0.167999999999999,0.00930954228083782
"2016-01-01 20:00:00+00:00","PJM - MISO",-37,-0.442,0.0241411327762303
"2016-01-01 21:00:00+00:00","PJM - MISO",-119,-0.655999999999999,0.032614099632097
"2016-01-01 22:00:00+00:00","PJM - MISO",-232,-3.772,0.168513223731237
"2016-01-01 23:00:00+00:00","PJM - MISO",-570,1.09999999999999,0.0446464810455392
"2016-01-02 00:00:00+00:00","PJM - MISO",-437,-3.01,0.127213558175901
"2016-01-02 01:00:00+00:00","PJM - MISO",-147,0.145999999999997,0.00647536257595233
"2016-01-02 02:00:00+00:00","PJM - MISO",-115,-1.796,0.0820166225226046
"2016-01-02 03:00:00+00:00","PJM - MISO",147,1.654,0.0803575766409173
"2016-01-02 04:00:00+00:00","PJM - MISO",424,0.938000000000002,0.0494074269159864
"2016-01-02 05:00:00+00:00","PJM - MISO",731,0.0139999999999993,0.000757370841222578
"2016-01-02 06:00:00+00:00","PJM - MISO",1192,3.362,0.187580204206885
"2016-01-02 07:00:00+00:00","PJM - MISO",1083,1.462,0.0783032510310106
"2016-01-02 08:00:00+00:00","PJM - MISO",1186,0.381999999999998,0.0203223918710431
"2016-01-02 09:00:00+00:00","PJM - MISO",1332,2.47,0.137031900138696
"2016-01-02 10:00:00+00:00","PJM - MISO",795,-3.104,0.150227470719195
"2016-01-02 11:00:00+00:00","PJM - MISO",956,-1.68,0.0815930063137445
"2016-01-02 12:00:00+00:00","PJM - MISO",195,-0.654000000000003,0.0300399614165635
"2016-01-02 13:00:00+00:00","PJM - MISO",-403,-6.51,0.268309772080946
"2016-01-02 14:00:00+00:00","PJM - MISO",-358,-1.26,0.0587576944599889
"2016-01-02 15:00:00+00:00","PJM - MISO",-684,0.123999999999999,0.0059364228265032
"2016-01-02 16:00:00+00:00","PJM - MISO",-687,0.25,0.0121957168642373
"2016-01-02 17:00:00+00:00","PJM - MISO",-525,2.206,0.116985734740415
"2016-01-02 18:00:00+00:00","PJM - MISO",-538,4.546,0.267176021157802
"2016-01-02 19:00:00+00:00","PJM - MISO",-360,4.07,0.243873209898736
"2016-01-02 20:00:00+00:00","PJM - MISO",-119,6.858,0.471891557145806
"2016-01-02 21:00:00+00:00","PJM - MISO",109,3.812,0.225428740390301
"2016-01-02 22:00:00+00:00","PJM - MISO",-85,-1.518,0.0725725486446433
"2016-01-02 23:00:00+00:00","PJM - MISO",-443,1.07,0.0479068726214462
"2016-01-03 00:00:00+00:00","PJM - MISO",-598,-2.578,0.119302142625758
"2016-01-03 01:00:00+00:00","PJM - MISO",-269,-1.474,0.0693940963231486
"2016-01-03 02:00:00+00:00","PJM - MISO",134,-1.41,0.0674931788808578
"2016-01-03 03:00:00+00:00","PJM - MISO",89,-0.445999999999998,0.0229199856107713
"2016-01-03 04:00:00+00:00","PJM - MISO",531,-1.05399999999999,0.055664114074465
"2016-01-03 05:00:00+00:00","PJM - MISO",937,-1.108,0.0574927355749274
"2016-01-03 06:00:00+00:00","PJM - MISO",1524,1.568,0.0885175567347859
"2016-01-03 07:00:00+00:00","PJM - MISO",1418,1.616,0.0932487016733987
"2016-01-03 08:00:00+00:00","PJM - MISO",1397,2.358,0.134997423713288
"2016-01-03 09:00:00+00:00","PJM - MISO",1434,1.388,0.0770426287744228
"2016-01-03 10:00:00+00:00","PJM - MISO",1321,1.634,0.0907021926172632
"2016-01-03 11:00:00+00:00","PJM - MISO",1192,1.31,0.0693819183305968
"2016-01-03 12:00:00+00:00","PJM - MISO",419,-0.425999999999998,0.021042232650037
"2016-01-03 13:00:00+00:00","PJM - MISO",-227,2.114,0.10921113808958
"2016-01-03 14:00:00+00:00","PJM - MISO",-415,5.872,0.331078033378439
"2016-01-03 15:00:00+00:00","PJM - MISO",-718,5.306,0.297271555829458
"2016-01-03 16:00:00+00:00","PJM - MISO",-422,6.492,0.375477154424523
"2016-01-03 17:00:00+00:00","PJM - MISO",-12,2.198,0.115665947481976
"2016-01-03 18:00:00+00:00","PJM - MISO",852,0.757999999999999,0.0385574037336588
"2016-01-03 19:00:00+00:00","PJM - MISO",1322,3.546,0.194141801259239
"2016-01-03 20:00:00+00:00","PJM - MISO",1407,13.556,1.0180234304596
"2016-01-03 21:00:00+00:00","PJM - MISO",1522,4.14,0.22279625443978
"2016-01-03 22:00:00+00:00","PJM - MISO",1208,1.114,0.0480939429262184
"2016-01-03 23:00:00+00:00","PJM - MISO",534,1.514,0.0618287254461551
"2016-01-04 00:00:00+00:00","PJM - MISO",232,-0.985999999999997,0.0394668374494655
"2016-01-04 01:00:00+00:00","PJM - MISO",301,5.46,0.184484389782403
"2016-01-04 02:00:00+00:00","PJM - MISO",406,3.19399999999999,0.143518310492024
"2016-01-04 03:00:00+00:00","PJM - MISO",386,5.206,0.267922392053934
"2016-01-04 04:00:00+00:00","PJM - MISO",461,2.968,0.157838757711125
"2016-01-04 05:00:00+00:00","PJM - MISO",1599,3.78,0.20682862770847
"2016-01-04 06:00:00+00:00","PJM - MISO",1766,3.68,0.203584863907944
"2016-01-04 07:00:00+00:00","PJM - MISO",1815,4.81,0.276166963311707
"2016-01-04 08:00:00+00:00","PJM - MISO",1976,4.988,0.288024021249567
"2016-01-04 09:00:00+00:00","PJM - MISO",2203,6.32,0.371895963281158
"2016-01-04 10:00:00+00:00","PJM - MISO",1948,2.604,0.137414248021108
"2016-01-04 11:00:00+00:00","PJM - MISO",1080,2.256,0.100561647499331
"2016-01-04 12:00:00+00:00","PJM - MISO",61,5.748,0.238387524883875
"2016-01-04 13:00:00+00:00","PJM - MISO",-862,3.012,0.127002867262608
"2016-01-04 14:00:00+00:00","PJM - MISO",-935,-1.754,0.072261360359247
"2016-01-04 15:00:00+00:00","PJM - MISO",-480,-1.894,0.0790319215522638
"2016-01-04 16:00:00+00:00","PJM - MISO",-23,-0.5,0.0217807980484405
"2016-01-04 17:00:00+00:00","PJM - MISO",184,-2.066,0.0868614673113308
"2016-01-04 18:00:00+00:00","PJM - MISO",166,-1.37,0.0596923881312363
"2016-01-04 19:00:00+00:00","PJM - MISO",54,-1.912,0.0821729413787177
"2016-01-04 20:00:00+00:00","PJM - MISO",-129,-1.942,0.0847110141766632
"2016-01-04 21:00:00+00:00","PJM - MISO",-48,-3.884,0.156209781209781
"2016-01-04 22:00:00+00:00","PJM - MISO",-210,-8.776,0.365666666666667
"2016-01-04 23:00:00+00:00","PJM - MISO",-1162,4.208,0.119559040800091
"2016-01-05 00:00:00+00:00","PJM - MISO",-541,-2.152,0.0817691313929629
"2016-01-05 01:00:00+00:00","PJM - MISO",-453,-10.572,0.418693069306931
"2016-01-05 02:00:00+00:00","PJM - MISO",-192,-10.97,0.415325786544504
"2016-01-05 03:00:00+00:00","PJM - MISO",172,-8.64399999999999,0.40144900613041
"2016-01-05 04:00:00+00:00","PJM - MISO",528,-6.218,0.302593800184924
"2016-01-05 05:00:00+00:00","PJM - MISO",394,7.27,0.382933895180406
"2016-01-05 06:00:00+00:00","PJM - MISO",470,4.82,0.214393737211992
"2016-01-05 07:00:00+00:00","PJM - MISO",970,24.118,1.80132944954814
"2016-01-05 08:00:00+00:00","PJM - MISO",735,28.074,1.86204152019633
"2016-01-05 09:00:00+00:00","PJM - MISO",456,27.344,2.02128917800118
"2016-01-05 10:00:00+00:00","PJM - MISO",158,5.408,0.239886444286728
"2016-01-05 11:00:00+00:00","PJM - MISO",-1082,-19.536,0.434945231098049
"2016-01-05 12:00:00+00:00","PJM - MISO",-2040,65.45,0.765900181382014
"2016-01-05 13:00:00+00:00","PJM - MISO",-2188,-0.382000000000001,0.0156730808681739
"2016-01-05 14:00:00+00:00","PJM - MISO",-1800,0.803999999999998,0.033696563285834
"2016-01-05 15:00:00+00:00","PJM - MISO",-1572,-2.956,0.110894357743097
"2016-01-05 16:00:00+00:00","PJM - MISO",-1014,-3.014,0.114491927825261
"2016-01-05 17:00:00+00:00","PJM - MISO",-507,-1.966,0.0796887033359003
"2016-01-05 18:00:00+00:00","PJM - MISO",-312,-3.032,0.128008106054209
"2016-01-05 19:00:00+00:00","PJM - MISO",-176,-0.614000000000001,0.0269688584354549
"2016-01-05 20:00:00+00:00","PJM - MISO",11,-1.588,0.0681486567676593
"2016-01-05 21:00:00+00:00","PJM - MISO",-150,-1.504,0.0657802659202238
"2016-01-05 22:00:00+00:00","PJM - MISO",99,-5.384,0.162315345191438
