"Node.To","ISO.To","Interface","Voltage"
"113001","ISO-NE","NYISO - ISO-NE",230
"116023","ISO-NE","NYISO - ISO-NE",345
"119272","ISO-NE","NYISO - ISO-NE",345
"126250","NYISO","PJM - NYISO",500
"126265","NYISO","PJM - NYISO",345
"126278","NYISO","PJM - NYISO",345
"126279","NYISO","PJM - NYISO",345
"126304","NYISO","PJM - NYISO",345
"126321","NYISO","PJM - NYISO",230
"128842","NYISO","PJM - NYISO",345
"130757","NYISO","PJM - NYISO",345
"130763","NYISO","PJM - NYISO",230
"135251","NYISO","PJM - NYISO",230
"135398","NYISO","PJM - NYISO",345
"146752","NYISO","PJM - NYISO",345
"146753","NYISO","PJM - NYISO",345
"247712","MISO","PJM - MISO",345
"249504","MISO","PJM - MISO",345
"249515","MISO","PJM - MISO",345
"249524","MISO","PJM - MISO",345
"249525","MISO","PJM - MISO",345
"254524","MISO","PJM - MISO",345
"254535","MISO","PJM - MISO",345
"255104","MISO","PJM - MISO",345
"255105","MISO","PJM - MISO",345
"255109","MISO","PJM - MISO",345
"255111","MISO","PJM - MISO",345
"255112","MISO","PJM - MISO",345
"255113","MISO","PJM - MISO",345
"255204","MISO","PJM - MISO",765
"255205","MISO","PJM - MISO",345
"256000","MISO","PJM - MISO",345
"256018","MISO","PJM - MISO",345
"256019","MISO","PJM - MISO",345
"256583","MISO","PJM - MISO",345
"264612","MISO","PJM - MISO",345
"264839","MISO","PJM - MISO",345
"347945","MISO","PJM - MISO",345
"347955","MISO","PJM - MISO",345
"348847","MISO","PJM - MISO",345
"348856","MISO","PJM - MISO",345
"348885","MISO","PJM - MISO",345
"349662","MISO","PJM - MISO",345
"349700","MISO","PJM - MISO",345
"631141","MISO","PJM - MISO",345
"636605","MISO","PJM - MISO",345
"636610","MISO","PJM - MISO",345
"694060","MISO","PJM - MISO",345
"699058","MISO","PJM - MISO",345
"699247","MISO","PJM - MISO",345
"699432","MISO","PJM - MISO",345
