"Node.From","ISO.From","Interface","Voltage"
"115005","NYISO","NYISO - ISO-NE",230
"116034","NYISO","NYISO - ISO-NE",345
"126294","NYISO","NYISO - ISO-NE",345
"200091","PJM","PJM - NYISO",500
"200654","PJM","PJM - NYISO",230
"200675","PJM","PJM - NYISO",230
"200930","PJM","PJM - NYISO",345
"200942","PJM","PJM - NYISO",345
"206400","PJM","PJM - NYISO",230
"217058","PJM","PJM - NYISO",345
"217063","PJM","PJM - NYISO",345
"217178","PJM","PJM - NYISO",345
"218300","PJM","PJM - NYISO",230
"218529","PJM","PJM - NYISO",345
"238530","PJM","PJM - MISO",345
"238889","PJM","PJM - MISO",345
"241901","PJM","PJM - MISO",345
"243207","PJM","PJM - MISO",765
"243210","PJM","PJM - MISO",765
"243214","PJM","PJM - MISO",345
"243216","PJM","PJM - MISO",345
"243217","PJM","PJM - MISO",345
"243219","PJM","PJM - MISO",345
"243220","PJM","PJM - MISO",345
"243221","PJM","PJM - MISO",345
"243222","PJM","PJM - MISO",345
"243229","PJM","PJM - MISO",345
"243231","PJM","PJM - MISO",345
"243233","PJM","PJM - MISO",345
"243234","PJM","PJM - MISO",345
"243878","PJM","PJM - MISO",345
"247803","PJM","PJM - MISO",345
"270673","PJM","PJM - MISO",345
"270674","PJM","PJM - MISO",345
"270677","PJM","PJM - MISO",345
"270771","PJM","PJM - MISO",345
"270796","PJM","PJM - MISO",345
"270797","PJM","PJM - MISO",345
"270804","PJM","PJM - MISO",345
"270853","PJM","PJM - MISO",345
"270855","PJM","PJM - MISO",345
"270864","PJM","PJM - MISO",345
"270866","PJM","PJM - MISO",345
"270867","PJM","PJM - MISO",345
"270886","PJM","PJM - MISO",345
"270888","PJM","PJM - MISO",345
"270918","PJM","PJM - MISO",345
"270919","PJM","PJM - MISO",345
"270941","PJM","PJM - MISO",345
"270942","PJM","PJM - MISO",345
"274698","PJM","PJM - MISO",345
"274702","PJM","PJM - MISO",345
"274750","PJM","PJM - MISO",345
"274817","PJM","PJM - MISO",345
