parent.model,child.model,filepointer.scenario,datafileobj.scenario
DAY_AHEAD 0,REAL_TIME 0,RT Filepointers 0,RT Run
DAY_AHEAD 0 Sp,REAL_TIME 0 Sp,RT Filepointers 0 Sp,RT Run
DAY_AHEAD 0 Reg,REAL_TIME 0 Reg,RT Filepointers 0 Reg,RT Run
DAY_AHEAD 0 All,REAL_TIME 0 All,RT Filepointers 0 All,RT Run
DAY_AHEAD 0 100kW,REAL_TIME 0 100kW,RT Filepointers 0 100kW,RT Run
DAY_AHEAD 0 100kW Sp,REAL_TIME 0 100kW Sp,RT Filepointers 0 100kW Sp,RT Run
DAY_AHEAD 0 100kW Reg,REAL_TIME 0 100kW Reg,RT Filepointers 0 100kW Reg,RT Run
DAY_AHEAD 0 100kW All,REAL_TIME 0 100kW All,RT Filepointers 0 100kW All,RT Run
DAY_AHEAD 0 10kW,REAL_TIME 0 10kW,RT Filepointers 0 10kW,RT Run
DAY_AHEAD 0 10kW Sp,REAL_TIME 0 10kW Sp,RT Filepointers 0 10kW Sp,RT Run
DAY_AHEAD 0 10kW Reg,REAL_TIME 0 10kW Reg,RT Filepointers 0 10kW Reg,RT Run
DAY_AHEAD 0 10kW All,REAL_TIME 0 10kW All,RT Filepointers 0 10kW All,RT Run
DAY_AHEAD 0 3kW,REAL_TIME 0 3kW,RT Filepointers 0 3kW,RT Run
DAY_AHEAD 0 3kW Sp,REAL_TIME 0 3kW Sp,RT Filepointers 0 3kW Sp,RT Run
DAY_AHEAD 0 3kW Reg,REAL_TIME 0 3kW Reg,RT Filepointers 0 3kW Reg,RT Run
DAY_AHEAD 0 3kW All,REAL_TIME 0 3kW All,RT Filepointers 0 3kW All,RT Run
DAY_AHEAD 0 1kW,REAL_TIME 0 1kW,RT Filepointers 0 1kW,RT Run
DAY_AHEAD 0 1MW,REAL_TIME 0 1MW,RT Filepointers 0 1MW,RT Run
DAY_AHEAD 00001,REAL_TIME 00001,RT Filepointers 00001,RT Run
DAY_AHEAD 00001 100kW,REAL_TIME 00001 100kW,RT Filepointers 00001 100kW,RT Run
DAY_AHEAD 00001 10kW,REAL_TIME 00001 10kW,RT Filepointers 00001 10kW,RT Run
DAY_AHEAD 00001 3kW,REAL_TIME 00001 3kW,RT Filepointers 00001 3kW,RT Run
DAY_AHEAD 00001 1kW,REAL_TIME 00001 1kW,RT Filepointers 00001 1kW,RT Run
DAY_AHEAD 00001 1MW,REAL_TIME 00001 1MW,RT Filepointers 00001 1MW,RT Run
DAY_AHEAD 00003,REAL_TIME 00003,RT Filepointers 00003,RT Run
DAY_AHEAD 00003 100kW,REAL_TIME 00003 100kW,RT Filepointers 00003 100kW,RT Run
DAY_AHEAD 00003 10kW,REAL_TIME 00003 10kW,RT Filepointers 00003 10kW,RT Run
DAY_AHEAD 00003 3kW,REAL_TIME 00003 3kW,RT Filepointers 00003 3kW,RT Run
DAY_AHEAD 00003 1kW,REAL_TIME 00003 1kW,RT Filepointers 00003 1kW,RT Run
DAY_AHEAD 00003 1MW,REAL_TIME 00003 1MW,RT Filepointers 00003 1MW,RT Run
DAY_AHEAD 0001,REAL_TIME 0001,RT Filepointers 0001,RT Run
