Generator,Units,scenario
101_CT_1,1,Fix capacity low
101_CT_2,1,Fix capacity low
101_PV_1,1,Fix capacity low
101_PV_2,1,Fix capacity low
101_PV_3,1,Fix capacity low
101_PV_4,0,Fix capacity low
101_STEAM_3,1,Fix capacity low
101_STEAM_4,1,Fix capacity low
102_CT_1,1,Fix capacity low
102_CT_2,1,Fix capacity low
102_PV_1,1,Fix capacity low
102_PV_2,0,Fix capacity low
102_STEAM_3,1,Fix capacity low
102_STEAM_4,1,Fix capacity low
103_PV_1,1,Fix capacity low
104_PV_1,1,Fix capacity low
107_CC_1,1,Fix capacity low
113_CT_1,1,Fix capacity low
113_CT_2,1,Fix capacity low
113_CT_3,0,Fix capacity low
113_CT_4,1,Fix capacity low
113_PV_1,1,Fix capacity low
114_SYNC_COND_1,0,Fix capacity low
115_STEAM_1,0,Fix capacity low
115_STEAM_2,0,Fix capacity low
115_STEAM_3,0,Fix capacity low
116_STEAM_1,0,Fix capacity low
118_CC_1,1,Fix capacity low
118_RTPV_1,1,Fix capacity low
118_RTPV_10,0,Fix capacity low
118_RTPV_2,1,Fix capacity low
118_RTPV_3,1,Fix capacity low
118_RTPV_4,1,Fix capacity low
118_RTPV_5,1,Fix capacity low
118_RTPV_6,0,Fix capacity low
118_RTPV_7,0,Fix capacity low
118_RTPV_8,0,Fix capacity low
118_RTPV_9,0,Fix capacity low
119_PV_1,1,Fix capacity low
121_NUCLEAR_1,1,Fix capacity low
122_HYDRO_1,1,Fix capacity low
122_HYDRO_2,1,Fix capacity low
122_HYDRO_3,1,Fix capacity low
122_HYDRO_4,1,Fix capacity low
122_HYDRO_5,0,Fix capacity low
122_HYDRO_6,0,Fix capacity low
122_WIND_1,1,Fix capacity low
123_CT_1,1,Fix capacity low
123_CT_4,1,Fix capacity low
123_CT_5,1,Fix capacity low
123_STEAM_2,0,Fix capacity low
123_STEAM_3,1,Fix capacity low
201_CT_1,1,Fix capacity low
201_CT_2,1,Fix capacity low
201_HYDRO_4,1,Fix capacity low
201_STEAM_3,0,Fix capacity low
202_CT_1,1,Fix capacity low
202_CT_2,1,Fix capacity low
202_STEAM_3,0,Fix capacity low
202_STEAM_4,0,Fix capacity low
207_CT_1,1,Fix capacity low
207_CT_2,0,Fix capacity low
212_CSP_1,0,Fix capacity low
213_CC_3,1,Fix capacity low
213_CT_1,1,Fix capacity low
213_CT_2,1,Fix capacity low
213_RTPV_1,1,Fix capacity low
214_SYNC_COND_1,0,Fix capacity low
215_CT_4,1,Fix capacity low
215_CT_5,1,Fix capacity low
215_HYDRO_1,1,Fix capacity low
215_HYDRO_2,1,Fix capacity low
215_HYDRO_3,0,Fix capacity low
215_PV_1,1,Fix capacity low
216_STEAM_1,1,Fix capacity low
218_CC_1,1,Fix capacity low
221_CC_1,1,Fix capacity low
222_HYDRO_1,1,Fix capacity low
222_HYDRO_2,1,Fix capacity low
222_HYDRO_3,1,Fix capacity low
222_HYDRO_4,1,Fix capacity low
222_HYDRO_5,0,Fix capacity low
222_HYDRO_6,0,Fix capacity low
223_CT_4,1,Fix capacity low
223_CT_5,1,Fix capacity low
223_CT_6,0,Fix capacity low
223_STEAM_1,1,Fix capacity low
223_STEAM_2,1,Fix capacity low
223_STEAM_3,1,Fix capacity low
301_CT_1,1,Fix capacity low
301_CT_2,1,Fix capacity low
301_CT_3,1,Fix capacity low
301_CT_4,1,Fix capacity low
302_CT_1,1,Fix capacity low
302_CT_2,1,Fix capacity low
302_CT_3,1,Fix capacity low
302_CT_4,1,Fix capacity low
303_WIND_1,0,Fix capacity low
307_CT_1,1,Fix capacity low
307_CT_2,1,Fix capacity low
308_RTPV_1,1,Fix capacity low
309_WIND_1,1,Fix capacity low
310_PV_1,1,Fix capacity low
310_PV_2,0,Fix capacity low
312_PV_1,1,Fix capacity low
313_CC_1,1,Fix capacity low
313_PV_1,1,Fix capacity low
313_PV_2,0,Fix capacity low
313_RTPV_1,1,Fix capacity low
313_RTPV_10,0,Fix capacity low
313_RTPV_11,0,Fix capacity low
313_RTPV_12,0,Fix capacity low
313_RTPV_13,0,Fix capacity low
313_RTPV_2,1,Fix capacity low
313_RTPV_3,1,Fix capacity low
313_RTPV_4,1,Fix capacity low
313_RTPV_5,1,Fix capacity low
313_RTPV_6,1,Fix capacity low
313_RTPV_7,1,Fix capacity low
313_RTPV_8,0,Fix capacity low
313_RTPV_9,0,Fix capacity low
313_STORAGE_1,0,Fix capacity low
314_PV_1,1,Fix capacity low
314_PV_2,1,Fix capacity low
314_PV_3,1,Fix capacity low
314_PV_4,0,Fix capacity low
314_SYNC_COND_1,0,Fix capacity low
315_CT_6,1,Fix capacity low
315_CT_7,1,Fix capacity low
315_CT_8,0,Fix capacity low
315_STEAM_1,0,Fix capacity low
315_STEAM_2,0,Fix capacity low
315_STEAM_3,0,Fix capacity low
315_STEAM_4,0,Fix capacity low
315_STEAM_5,0,Fix capacity low
316_STEAM_1,0,Fix capacity low
317_WIND_1,1,Fix capacity low
318_CC_1,1,Fix capacity low
319_PV_1,1,Fix capacity low
320_PV_1,1,Fix capacity low
320_RTPV_1,1,Fix capacity low
320_RTPV_2,1,Fix capacity low
320_RTPV_3,1,Fix capacity low
320_RTPV_4,0,Fix capacity low
320_RTPV_5,0,Fix capacity low
320_RTPV_6,0,Fix capacity low
321_CC_1,1,Fix capacity low
322_CT_5,1,Fix capacity low
322_CT_6,0,Fix capacity low
322_HYDRO_1,1,Fix capacity low
322_HYDRO_2,1,Fix capacity low
322_HYDRO_3,1,Fix capacity low
322_HYDRO_4,0,Fix capacity low
323_CC_1,1,Fix capacity low
323_CC_2,1,Fix capacity low
324_PV_1,1,Fix capacity low
324_PV_2,1,Fix capacity low
324_PV_3,0,Fix capacity low
