genID,busID,gen cat,operation cost,expansion cost,min gen,Ramp Rate MW/Min,max gen,reserve factor,start up cost,shut down cost,number on system,VG,exist,expand,max new units,min new units,provides reserves,capacity discount,FOR,gen type
212_CSP_1,2,CSP,0,537010.7307,30,20,200,0,2000,0,0,TRUE,FALSE,TRUE,1,0,1,1,0,212_CSP_1
101_STEAM_3,1,Coal,44.40807139,272830.2397,30,2,76,0,11172.01435,11172.01435,0,FALSE,FALSE,TRUE,1,0,1,1,2,101_STEAM_3
101_STEAM_4,1,Coal,44.40807139,272830.2397,30,2,76,0,11172.01435,11172.01435,0,FALSE,FALSE,TRUE,1,0,1,1,2,101_STEAM_4
102_STEAM_3,1,Coal,46.81632797,272830.2397,30,2,76,0,11172.01435,11172.01435,0,FALSE,FALSE,TRUE,1,0,1,1,2,102_STEAM_3
102_STEAM_4,1,Coal,46.81632797,272830.2397,30,2,76,0,11172.01435,11172.01435,0,FALSE,FALSE,TRUE,1,0,1,1,2,102_STEAM_4
115_STEAM_3,1,Coal,50.03261828,272830.2397,62,3,155,0,22784.79562,22784.79562,0,FALSE,FALSE,TRUE,1,0,0,1,4,115_STEAM_3
116_STEAM_1,1,Coal,51.16058225,272830.2397,62,3,155,0,22784.79562,22784.79562,0,FALSE,FALSE,TRUE,1,0,0,1,4,116_STEAM_1
123_STEAM_2,1,Coal,51.49754134,272830.2397,62,3,155,0,22784.79562,22784.79562,0,FALSE,FALSE,TRUE,1,0,1,1,4,123_STEAM_2
123_STEAM_3,1,Coal,49.15134062,272830.2397,140,4,350,0,36749.81356,36749.81356,0,FALSE,FALSE,TRUE,1,0,1,1,8,123_STEAM_3
201_STEAM_3,2,Coal,53.36146353,272830.2397,30,2,76,0,11172.01435,11172.01435,0,FALSE,FALSE,TRUE,1,0,1,1,2,201_STEAM_3
202_STEAM_3,2,Coal,50.61572264,272830.2397,30,2,76,0,11172.01435,11172.01435,0,FALSE,FALSE,TRUE,1,0,1,1,2,202_STEAM_3
202_STEAM_4,2,Coal,50.61572264,272830.2397,30,2,76,0,11172.01435,11172.01435,0,FALSE,FALSE,TRUE,1,0,1,1,2,202_STEAM_4
216_STEAM_1,2,Coal,46.54147168,272830.2397,62,3,155,0,22784.79562,22784.79562,0,FALSE,FALSE,TRUE,1,0,1,1,4,216_STEAM_1
223_STEAM_1,2,Coal,44.41335586,272830.2397,62,3,155,0,22784.79562,22784.79562,0,FALSE,FALSE,TRUE,1,0,1,1,4,223_STEAM_1
