"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2020,1,1,0,0,0,0,0,0,0,9.001,8.248,7.479,5.983,3.828,3.473,3.61,1.262,2.067,0,0,0,0,0,0,0,0
2020,1,2,0,0,0,0,0,0,0,9,8.332,8.085,8.042,7.537,7.583,7.556,56.245,69.645,0,0,0,0,0,0,0,0
2020,1,3,0,0,0,0,0,0,0,5.128,6.137,6.912,7.213,5.557,7.585,7.183,48.593,63.316,0,31.683,8.279,31.683,0,0,0,0
2020,1,4,0,0,0,8.3,0,0,0,3.821,4.424,4.127,4.015,4.502,5.983,6.78,47.102,58.334,0,0,0,0,0,0,0,0
2020,1,5,0,0,0,0,0,0,0,4.71,5.51,4.633,5.87,7.568,7.542,7.365,51.409,58.528,0,0,0,70,0,0,0,0
2020,1,6,0,0,0,0,0,0,0,5.155,4.499,4.288,4.219,3.676,4.402,5.356,42.121,50.23,0,0,0,0,0,0,0,0
2020,1,7,0,0,0,0,0,0,0,4.529,4.487,4.267,4.279,3.556,3.526,3.492,24.48,30.064,0,0,0,0,0,0,0,0
2020,1,8,0,0,0,0,0,0,4.032,8.857,5.043,4.562,4.508,4.358,3.482,3.482,24.605,29.956,0,0,0,0,0,0,0,0
2020,1,9,0,0,0,0,0,0,0,7.077,7.78,8.072,7.992,6.946,5.973,5.212,8.108,19.583,0,0,0,0,0,0,0,0
2020,1,10,0,0,0,0,0,0,0,7.362,6.276,5.683,6.186,6.544,7.557,7.41,54.239,66.587,0,0,0,0,0,0,0,0
2020,1,11,0,0,0,0,0,0,0,9.7,22.7,33.2,61.9,32.81,56.317,25.2,77.158,86.998,7.767,26.42,0,26.42,26.42,0,0,0
2020,1,12,0,0,0,0,0,0,0,6.724,5.356,4.78,5.69,7.708,7.638,7.539,30.9,56.485,4.017,42.921,0,42.921,42.921,0,0,0
2020,1,13,0,0,0,0,0,0,0,8.639,5.869,5.265,5.476,6.001,5.967,5.809,32.348,52.446,17.91,65,0,78,55,0,0,0
2020,1,14,0,0,0,0,0,0,0,5.676,3.549,4.289,3.188,3.693,4.469,5.188,6.399,59.076,0,69,37,45.408,80,0,0,0
2020,1,15,0,0,0,0,0,0,0,11.756,12.35,21.255,16.254,36.6,28.884,11.559,6.255,23.255,0,0.4,0,2.395,5,0,0,0
2020,1,16,11,0,0,0,0,0,0,8.595,8.333,7.498,7.317,7.266,7.026,7.025,5.052,30.603,0.145,0,0,15.277,63,0,0,0
2020,1,17,23.44,0,0,0,0,0,0,4.503,4.478,4.157,2.534,4.329,3.44,3.45,2.959,24.864,0.063,0,0,7.968,1.278,0,0,0
2020,1,18,43.616,0,0,0,0,0,0,8.908,8.496,7.723,7.552,6.421,5.974,5.559,5.442,3.815,0.093,0,2.5,7.476,0,0,0,0
2020,1,19,38.146,0,0,0,0,0,0,6.551,6.404,5.548,5.746,4.221,4.343,4.236,3.183,2.803,0.177,0,0,27.659,0,0,0,0
2020,1,20,40.194,0,0,0,0,0,0,8.862,8.281,7.035,7.757,6.44,4.808,4.344,2.8,1.952,0.188,0,0,14.581,0,0,0,0
2020,1,21,62.971,0,0,0,0,0,0,8.429,8.325,8.191,8.344,7.642,6.647,6.097,5.682,4.997,0.201,0,0,13.932,0,0,0,0
2020,1,22,85.605,0,0,0,0,0,0,11.249,9.109,7.865,8.493,8.346,6.922,5.905,4.662,4.598,0.6,0,0,25.182,0,0,0,0
2020,1,23,48.332,0,0,0,0,0,0,6.665,6.297,4.132,5.98,5.613,3.987,4.524,4.196,4.691,0.064,0,0,20.564,0,0,0,0
2020,1,24,25.72,0,0,0,0,0,0,9.39,10.269,3.345,3.882,3.836,5.628,4.398,3.367,4.211,0.078,0,0,7.745,0,0,0,0
2020,1,25,38.965,0,0,0,0,0,0,4.74,4.574,3.477,4.419,4.426,3.575,3.526,2.666,2.715,0.043,0,0,11.028,0,0,0,0
2020,1,26,24.012,0,0,0,0,0,0,7.859,8.584,4.993,7.882,7.624,7.564,7.287,5.538,6.097,0.15,0,0,14.515,0,0,0,0
2020,1,27,23.814,0,0,0,0,0,0,4.543,4.53,3.466,4.337,4.099,3.238,3.093,2.445,2.707,0.072,0,0,8.017,0,0,0,0
2020,1,28,24.495,0,0,0,0,0,0,6.089,6.484,6.392,8.102,7.48,6.696,6.114,6.147,7.445,0.276,0,0,49.063,0,0,0,0
2020,1,29,23.968,0,0,0,0,0,0,4.469,4.524,8.273,4.303,4.189,3.481,3.431,2.896,3.432,0.072,0,0.336,8.914,0,0,0,0
2020,1,30,26.551,0,0,0,0,0,0,4.438,4.502,3.491,4.853,5.065,7.488,7.473,6.57,7.146,0.701,0,0,18.377,3.395,0,0,0
2020,1,31,35.927,0,0,0,0,0,0,7.597,7.903,6.671,5.085,2.736,2.884,1.891,0.913,2.549,1.191,0,0,16.981,3.849,0,0,0
2020,2,1,54.619,0,0,0,0,0,0,4.486,4.516,4.056,4.357,4.634,6.42,3.422,2.871,4.084,1.204,0,0,16.483,4.85,0,0,0
2020,2,2,34.177,0,0,0,0,0,1.042,5.639,6.261,7.087,7.951,7.514,6.985,6.543,3.219,2.52,2.892,8,0,23.46,13.836,0,0,0
2020,2,3,85.432,0,0,0,0,0,8.901,8.452,8.116,7.624,7.279,5.491,5.985,7.038,4.832,4.32,5.104,5,0,11.387,23,0,15.4,8.6
2020,2,4,9.625,0,0,0,0,0,36,3.099,3.696,3.369,4.277,1.377,1.39,1.375,0.495,0.587,2.532,7.949,25.4,34.627,40,0,0,0
2020,2,5,77.169,0,0,0,0,0,43.508,8.618,8.404,7.798,7.922,6.458,3.897,2.994,2.013,1.95,2.383,5,0,19.544,43,0,0,45
2020,2,6,1.903,8.7,22.7,0,10.6,60,1.001,7.813,7.916,7.375,7.144,6.633,6.048,3.683,5.383,6.805,12.951,2,0,34.607,34.9,0,0,64.384
2020,2,7,20.283,0,0,0,0,0,0.748,8.633,8.475,7.884,8.205,7.818,5.104,4.962,4.285,4.634,7.097,0,0,29.814,0,0,0,9.5
2020,2,8,18.696,5.8,0,0,0,0,1.453,5.909,6.033,4.709,3.935,1.848,1.736,1.866,1.52,1.854,4.912,5,0,4.54,0,0,0,0
2020,2,9,6.075,0,0,0,4.4,0,8.083,2.769,3.353,3.246,3.123,1.576,1.804,1.351,0.531,0.628,3.671,5,0,2.917,0,0,3.3,0
2020,2,10,31.941,0,0,0,0,0,8.726,6.023,6.537,6.785,6.738,5.376,4.745,3.771,6.807,3.008,8.062,0,0,10.1,0,0,0,0
2020,2,11,46.301,0,0,0,0,0,4.269,8.365,7.966,6.251,6.668,4.782,2.836,1.585,1.347,1.13,4.592,0,0,33.375,0,0,0,0
2020,2,12,36.5,0,31,30.4,0,27.261,13.822,51.1,19.326,11.916,6.989,5.155,4.827,2.456,1.112,1.71,4.857,0,0,20.13,0,0,0,0
2020,2,13,43,0,0,0,0,19.568,8.45,5.877,6.244,6.038,6.786,6.347,5.95,4.33,5.427,4.367,14.823,0,0,18.074,0,0,0,0
2020,2,14,90,0,0,0,0,18.083,3.97,9.59,11.076,12.409,17.28,22.844,22.481,7.626,20.345,9.226,19.995,0,0,35.115,0,0,0,0
2020,2,15,91,0,52.8,30.4,0,30.228,25.206,8.806,8.13,6.276,6.676,4.386,6.709,3.778,7.985,6.594,16.236,0,0,48.295,0,0,0,0
2020,2,16,10,0,60,0,0,20.586,15.266,4.983,4.614,2.768,5.256,5.657,5.451,6.336,3.673,1.457,3.186,0,0,36.078,0,0,0,0
2020,2,17,0.1,0,0,0,0,28.393,6.074,2.808,4.764,7.544,7.671,8.061,7.678,4.523,7.404,2.777,8.909,0,0,24.965,0,0,0,0
2020,2,18,93,0,0,0,0,17.485,3.993,2.022,7.115,5.109,6.323,6.046,5.872,3.712,6.943,2.436,8.25,0,0,10.692,0,0,0,0
2020,2,19,41,0,0,0,0,7.316,2.224,1.399,4.565,4.284,5.893,5.518,6.199,3.198,4.817,1.829,5.27,0,0,17.709,0,0,0,0
2020,2,20,77,0,0,0,0,4.606,2.189,1.421,4.51,4.217,4.412,3.551,3.517,1.951,3.071,1.028,3.418,0,0,22.282,0,0,0,0
2020,2,21,93,0,0,0,0,31.462,11.516,5.233,4.725,4.266,3.549,1.854,1.965,2.081,1.875,0.775,6.441,0,0,25.08,0,0,0,0
2020,2,22,51,0,0,0,0,18.879,6.433,3.891,3.813,3.844,3.539,1.753,1.375,1.425,0.592,0.731,3.766,21.9,48.2,44.906,0,0,0,0
2020,2,23,84,0,0,0,0,43.03,8.649,3.122,3.421,4.527,10.173,6.776,7.82,29.158,6.349,3.763,9.612,0,0,10.009,0,0,0,0
2020,2,24,41,0,0,0,0,8.171,3.206,3.259,5.561,6.126,41.575,5.014,4.632,53.007,28.5,3.079,11.065,0,0,15.274,0,0,0,0
2020,2,25,92,0,0,0,0,13.217,0.059,0.697,0.755,2.068,11.87,4.036,3.531,44.158,6.555,1.562,2.303,0,0,6.353,0,0,0,0
2020,2,26,41,0,0,0,0,16.98,13.936,9.216,4.625,4.461,4.871,4.114,2.864,11.784,3.772,2.816,5.39,0,0,28.642,0,0,0,0
2020,2,27,93,0,0,0,0,11.248,7.716,6.583,4.022,6.921,5.961,3.375,4.419,35.257,7.005,8.138,8.92,0,5,6.387,0,0,0,0
2020,2,28,54,0,0,0,0,24.208,19.535,36.056,18.344,21.219,10.859,8.431,4.72,4.376,2.346,4.858,1.766,0,0,38.612,0,0,0,0
