"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2020,1,1,13,60,74,36,83,0,27.083,60,19.175,20.1,17.408,40,48,10,43,31.7,0,12,18.607,16,30.315,25.731,3,16
2020,1,2,0,55.586,34.462,30.7,55.586,29.905,35.472,68.9,78.818,84.876,40.91,5.3,60,13.705,0,46.467,38.133,0,16,16,61,8.7,55.859,0
2020,1,3,0,13,22.025,40,0,21.779,27.846,0,2.465,79.094,13.279,0,60,15.138,0,48.242,37.758,12,24,16,38.275,0,51.432,47
2020,1,4,0,0,0,0,16,27.77,19.016,0,0,34,0,0,60,2.031,0,13.3,47,12,41.906,39.695,30.5,21.396,34.881,0
2020,1,5,0,0,30.545,0,56,56,19.765,26.836,27.21,26.572,4.853,11.172,60,9.883,0,38.399,52,12,0,17.565,27.982,16,51.653,15.3
2020,1,6,0,0,45.273,0,60,11.326,39.358,53,22.978,27.586,4.287,0,60,8.382,0,24.531,32.609,9.054,43,49.934,14.174,25.056,0,0
2020,1,7,0,0,30.545,0,56,0,33.394,31.549,23.074,26.107,4.948,0,60,0,0,14.722,31.111,0,5.949,0.215,5.086,24.282,0,0
2020,1,8,0,0,37.091,0,0,0,0,0,0,26.076,5.94,0,60,0,0,13.782,37.333,0,0,40.7,5.43,20.095,0,6.544
2020,1,9,8.239,0,37.333,0,0,7.549,32,18.332,0,40.474,0,0,60,0,0,37.393,47.094,0,0,0,16,17,0,16.022
2020,1,10,21.483,0,58,60,0,27.008,58.44,27.112,0,37.5,0,0,0,71.5,49.963,44.625,11.477,31,16,31,20.375,27.931,0,15.858
2020,1,11,37.252,0,61.4,60,24.614,10.6,16,2.842,0,1.098,11.337,25.606,26.42,29.818,30.7,47,33.7,24,12.977,32,54.117,31,19.535,14.684
2020,1,12,47.649,0,69,0,22.629,34.368,40,26.4,41.121,91,0,33,66.924,30.632,69.376,17.8,32,40.475,59,16,31,31,31,23.966
2020,1,13,69.35,39.617,61.4,60,34.909,27.59,31,16.649,87,0,0,26.333,44.636,24,36,90.7,15.469,15.892,19.108,0,52.03,29.313,43.2,13.615
2020,1,14,51.668,34.857,56,56,21.763,56,46.545,30.429,58,13.31,0,60,57.13,36.978,0,73.661,31,31,0,0,25.833,31,31,20.682
2020,1,15,46.352,52,43.762,42.995,37.105,0,64.696,16.474,18.1,40.579,4,60,66.442,51.823,26.2,0,14.916,0,0,0,0,0,1.426,15
2020,1,16,0,0,0,0,17.662,0,0,16.649,0,50.389,0,60,52.521,41.806,0,80,31,12,21.942,38.828,31,29.669,12.795,57
2020,1,17,0,12.725,56,0,22.766,30.6,5.306,22.125,0,7.853,0,58,45.882,28.306,0,60,0,0,60,0,31,27.454,29.749,60
2020,1,18,0,40.763,44.317,1,0,31,37.103,10.178,93,21.619,89,29,56.471,35.806,47.667,42.583,22,0,0,0,0,8.049,0.5,17.816
2020,1,19,0,3.72,31,10.844,0,7.267,0,7.471,0,17.606,60,0,32.923,24.205,23.079,17.339,25.064,0,4.376,16,47,60,0,50.282
2020,1,20,0,27.504,36,33.743,0,21.601,0,24,0,27.29,80,0,34.483,60,30.7,22.516,13.87,0,12,0,0,7.858,0,20.795
2020,1,21,0,19.53,31,22.187,5.601,20.817,0,9.962,28.6,27.51,87.8,0,56.778,60,43.4,55.783,60.639,80,74.924,62.866,30.655,10.649,79.755,30.475
