"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,48.579,10,0,10,0
2020,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6.122,31.474,10,0,10,0
2020,1,16,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.342,0,0,0,0
2020,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.556,0,0,0,0
2020,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.893,10,0,0,20.582,0,0,0,0
2020,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.517,0,0,0,0
2020,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12.795,0,0,0,0
2020,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.068,0,0,0,0
2020,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.288,0,0,0,0
2020,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.941,0,0,0,0
2020,1,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2.049,0,0,0,0
2020,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.528,0,0,0,0
2020,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.665,0,0,0,0
2020,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.389,0,0,0,0
2020,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.706,0,0,0,0
2020,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.557,0,0,0,0
2020,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229,0,0,0.83,3.769,0,0,0,0
2020,1,31,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,5.657,0,0,1.202,3.939,0,0,0,0
2020,2,1,1.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619,1.827,0,0,0,0
2020,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,2.678,10.166,15,2.779,0,2.647
2020,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17.084,15,15,0,15
2020,2,4,15,3.3,2.6,5.4,15,0,15,15,0,0,0,0,0,0,0,15,0,0,0,6.547,0,0,0,0
2020,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12.942,0,0,0,0
2020,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.138,0,0,0,0
2020,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.655,0,0,0,0
2020,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,22.817,0,0,15,0
