"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
2020,1,1,10,0,55,0,49,0,40,30,0,14.551,25.9,10,35,25,49,30,1.581,0.656,12,15,15,23,35,50
2020,1,2,34.426,26.667,18.244,20,13.714,35,32,41,72,0,27.93,77,69.376,46.322,16.577,30,39,23.892,27.616,23.941,26.617,25,35,62
2020,1,3,36.19,22.5,13.423,3.758,11.143,12,9,35,0,0,26.417,71,68.297,0,16.492,30,30,0,12,3.935,15,30,6,14
2020,1,4,15,15,4.479,15,6.429,15,21.484,0,18.148,14.4,12.444,24,0,17,15.67,10,28,5.81,24,24,2.648,15,0,0
2020,1,5,25,33,23.03,0,0,19.358,5.974,35.139,16.58,0,7.882,0,0,17.7,23.332,23.333,30,12,10.243,47.7,30,30,27.108,30
2020,1,6,0,40,27.828,0,0,14.048,5.522,43.6,16.276,0,17.764,0,0,18.1,31.116,25.524,0,1,39,12,3.302,25,42,36
2020,1,7,0,15,20.677,0,0,11.143,4.742,0,15.364,0,20.65,0,0,18.2,28.299,26.087,0,0,15,0,0,40,25,16
2020,1,8,0,15,22.831,0,30.377,15,0,0,19.668,0,19.648,0,0,17.2,26.658,24.614,0,15,0,0,0,0,25,36.364
2020,1,9,0,15,23.254,0,4.603,45,20.388,3.213,10.672,0,23.905,64,43.273,36.111,18.136,30,35.7,36,34.827,15,30,40,22.75,20
2020,1,10,0,15,27.097,29.091,24.762,50,16.008,0,22.421,0,18.48,73,49,42.778,18.768,31,15,15,30,18.7,15.014,13.4,17.861,20
2020,1,11,20,17.067,15,29.091,23.489,30,15,11.586,30,30,31.708,30,31.24,50,28,24,30,43,20.345,30,0,11.376,0,4.299
2020,1,12,0,18.354,25,5.631,12.782,17.614,32,41.587,12.159,0.397,33.047,20,15.715,0,7.513,15.098,6,52.24,24,0,0,3.961,0,28.109
2020,1,13,35,21.699,25,28.96,26.652,31.627,0,24.896,24.643,35,29.143,10,11.333,40.2,28.29,27.387,32.885,5.72,0,0,25.892,0,0,0
2020,1,14,45,21.209,25,28.131,24.023,0,15,16.712,37.913,0,25.004,53.677,9.701,69,7.204,22.443,23,39,24,4.9,18.359,26.016,15,30.338
2020,1,15,35,27.368,0,37.143,33.72,15,0,15,38.053,0,32.779,60,16.42,37.209,20,35,28.899,12,28.122,0,15,0,27,0
2020,1,16,28.899,14.286,8.958,31.579,9.356,15,0,18.794,40.833,0,26.341,54.996,10.417,31.915,43.7,56,22.151,37.191,15,5.258,0,0,25,0
2020,1,17,0,25,14.596,0,6,25,0,11.242,25.241,0,7.495,21.943,15,26.483,43.9,0,20,18.308,1,3.632,15,0,15,35
2020,1,18,0,20.312,10.341,15,15.319,15,35.453,14.023,30.638,0,29.468,71,45.296,27.394,42.815,22.4,26.47,0,12,19.77,0,0,0,15.333
2020,1,19,9.767,0,6.296,15,15,12.271,30,18.857,20.99,0,22.471,58,39.389,23.465,33.9,22,6.3,24,18.3,15,0,35,25.77,0
2020,1,20,30,20.77,15,15,35,27.04,40.77,33.743,27.634,0,29.971,73,43.026,25.023,54,22.4,9.462,12,12,0,35.7,0,0,15
2020,1,21,20.77,20.77,33.727,15,0,6.234,0,31.441,65.77,0,31.837,77,48.412,32.991,15.366,30,75.77,20.77,55.77,51,44,27.679,37,10
2020,1,22,25,20.77,15,15,10,35.77,30,32.339,65.77,0,31.972,72,11.8,35.346,9.688,28.8,40.973,36,0,0,0,15.77,35,28.065
