Year,Month,Day,Period,1,2,3
2020,1,1,1,0,0,37.489
2020,1,1,2,0,0,35.772
2020,1,1,3,0,0,34.974
2020,1,1,4,0,0,34.5
2020,1,1,5,0,0,34.919
2020,1,1,6,0,0,36.88
2020,1,1,7,0,0,41.046
2020,1,1,8,0,0,43.818
2020,1,1,9,0,0,46.983
2020,1,1,10,0,0,49.16
2020,1,1,11,0,0,50.662
2020,1,1,12,0,0,51.324
2020,1,1,13,0,0,50.946
2020,1,1,14,0,0,51.081
2020,1,1,15,0,0,50.526
2020,1,1,16,0,0,49.783
2020,1,1,17,0,0,50.797
2020,1,1,18,0,0,56.666
2020,1,1,19,0,0,55.801
2020,1,1,20,0,0,53.921
2020,1,1,21,0,0,51.473
2020,1,1,22,0,0,48.051
2020,1,1,23,0,0,43.954
2020,1,1,24,0,0,39.721
2020,1,2,1,0,0,37.083
2020,1,2,2,0,0,35.636
2020,1,2,3,0,0,34.608
2020,1,2,4,0,0,34.122
2020,1,2,5,0,0,34.351
2020,1,2,6,0,0,36.394
2020,1,2,7,0,0,40.383
2020,1,2,8,0,0,42.804
2020,1,2,9,0,0,46.063
2020,1,2,10,0,0,48.525
2020,1,2,11,0,0,50.594
2020,1,2,12,0,0,52.014
2020,1,2,13,0,0,52.623
2020,1,2,14,0,0,53.529
2020,1,2,15,0,0,53.488
2020,1,2,16,0,0,52.366
2020,1,2,17,0,0,52.055
2020,1,2,18,0,0,56.68
2020,1,2,19,0,0,55.828
2020,1,2,20,0,0,53.272
2020,1,2,21,0,0,50.865
2020,1,2,22,0,0,47.497
2020,1,2,23,0,0,43.156
2020,1,2,24,0,0,39.274
2020,1,3,1,0,0,36.596
2020,1,3,2,0,0,35.163
2020,1,3,3,0,0,34.446
2020,1,3,4,0,0,33.959
2020,1,3,5,0,0,33.946
2020,1,3,6,0,0,35.744
2020,1,3,7,0,0,39.558
2020,1,3,8,0,0,42.168
2020,1,3,9,0,0,46.361
2020,1,3,10,0,0,48.741
2020,1,3,11,0,0,51.243
